Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header
Can a totally failed right inframammary fold and tissue torn off right breastbone be surgically corrected?,"February 10, 2020","Melbourne, Victoria, Australia","BR 3 years ago, popping, snapping inside right breastbone, pneumothorax diagnosed. Right imf detached from breastbone, left attached but pulling, no anchorage right side. Right side lower than left. Cleavage loose, low, wide, pre BR high, attached, narrow. Chronic pain, bubbling in chest. Had bilateral mesh repair as breasts displaced. Pressure, pulling on left side. Left side attached, right is not. When manually restore the right imf, I’m 100 %. My surgeon is unable to assist me.",Can a totally failed right inframammary fold and tissue torn off right breastbone be surgically corrected?
What is the difference between a breast filler/spacer and a breast implant at the time of double mastectomy?,"April 21, 2020","Grand Rapids, MI","Found a 1cm lump in December. 40 yo, mom of 3. Run 3 to 4 miles every day when possible. Ideally would like implants at the same time as double mass.",What is the difference between a breast filler/spacer and a breast implant at the time of double mastectomy?
"Is it possible for me to have subglandular round silicone implants after lumpectomy, radiation for both breasts now? (Photos)","August 19, 2020","San Francisco De Macorís, DO","Hi, I'm not happy with my lipofilling results (which I had 4 times) after lumpectomy- radiation in 2016 and donut mastopexy for the right breast (I don't like visible suture arround areola.) Is it possible for me to have subglandular round silicone implants for both breasts now? How can I have similar shaped areolas for both breasts?","Is it possible for me to have subglandular round silicone implants after lumpectomy, radiation for both breasts now? (Photos)"
"What are the technical names for the different options for smooth, round Gummy Implants? Do mentor and natrelle both offer these","January 9, 2020","Southern Pines, NC","I am having a Prophylactic Double Mastectomy with Reconstruction. What are the technical names for the different options for smooth, round ""Gummy"" Implants? Do mentor and natrelle both offer these? My PS said that gummy implants do not come in smooth, but I don't think that I specified round and not the tear drop ones, so I just want to know what the technical name is for those. Thank you!","What are the technical names for the different options for smooth, round Gummy Implants? Do mentor and natrelle both offer these"
Abdominal tightness after tram flap: I've had tram flap for 13 months.,"November 12, 2017",Hong kong,"I still feel abdomen very tight, is that normal?",Abdominal tightness after tram flap: I've had tram flap for 13 months.
Mastectomy and Breast Reconstruction - Can the Procedures Be Combined?,"June 12, 2008",,"My mom gets really painful cysts in her breasts constantly. It&#39;s not cancer, but she is tired of having tons of biopsies and plans to have a mastectomy later this year. From what I recall when my grandmother (my dad&#39;s mom) had a mastectomy due to breast cancer, she had to wait some time before having the breast reconstruction. But I was wondering if there is any way the two procedures could be done in succession, during the same surgery session, in cases like this where there is no breast cancer involved.",Mastectomy and Breast Reconstruction - Can the Procedures Be Combined?
What are the medical risks of sewing a chest muscle back down?,"December 1, 2020","Seattle, WA",Implants were removed a few years ago and I still have animation. (My implant surgeon has retired so thank you for answering.),What are the medical risks of sewing a chest muscle back down?
How to Fix Pain from Scar Tissue After Breast Reconstruction?,"June 13, 2009",marion center pa,What can be done about scar tissue causing pain?,How to Fix Pain from Scar Tissue After Breast Reconstruction?
Fat Transfer for Correction After Mastectomies. Recovery Time?,"February 16, 2013","Saint James, NY",I had prophylactic bilateral mastectomies with tissue expanders in August. Exchange to silicon implants in December. My plastic surgeon suggested fat transfer from my outer thighs to correct some creases and step off on top of the breast. He will do both thighs to keep symmetry. I was wondering about the recovery for this type of surgery. I am due to go on vacation one month after surgery. Will I need compression garments? Bruising? Thank you!,Fat Transfer for Correction After Mastectomies. Recovery Time?
Are teardrop silicone shape implants no longer allowed to be used in reconstruction surgery?,"November 9, 2020","Orlando, FL",Hi! I still have my tissue expanders in since July 1st. I should be having my second stage surgery in April. I wanted my silicone implants to be teardrop shape to achieve a more natural look. But was very disappointed when my plastic surgeon told me they eliminated this type of implant and no longer use them because they are no longer being allowed or used because of complications. Is this true? I am concerned about having my chest lol empty at top.,Are teardrop silicone shape implants no longer allowed to be used in reconstruction surgery?
Can I get a mastectomy if I dont have cancer? Im not carrying the cancer gene either.,"February 1, 2020","Port Orchard, WA",I have always hated my boobs! I got a reduction in 2009 then I got a lift in 2018. They are between a large b cup or c. I just want them gone can I get a mastectomy?,Can I get a mastectomy if I dont have cancer? Im not carrying the cancer gene either.
Questions about breast fibroadenomas.,"December 5, 2016","Toronto, ON",4 small but painful breast lumps (largest 1 5cm) thought to be fibroadenomas. Pain is dull but becomes severe. Pain has completely altered my lifestyle. 1. If I elect for removal what is the chance of having deformities? 2. If my breasts become deformed will ohip cover reconstruction? 3. any tips on what specialists to see (toronto) 4. Would a masectomy stop more from coming? 5. If so is this something that is considered often in cases causing severe pain?,Questions about breast fibroadenomas.
I am 8 weeks post mammoplasty. Hard to lay on my side due to light sharp pains in the sides of both breast? (Photos),"March 15, 2017","Memphis, TN",Left breast hard and numb underneath. Dull deep pain in left shoulder especially when yawning. No cleavage but I do have a hole at bottom of cleavage line. Surgeon is sending me for 2 months of physical therapy but didn't explain after telling him about my shoulder pain but I am not limited with movement,I am 8 weeks post mammoplasty. Hard to lay on my side due to light sharp pains in the sides of both breast? (Photos)
Wondering what is causing this long red mark from where boob lays after double mastectomy & reconstruction just started? (photo),"April 17, 2015","Pittsburgh, PA",Had reconstruction surgery February 20th having pain and redness long line where my breast Right side usually lays but not from bra as bra doesn't even come close too it SORE.,Wondering what is causing this long red mark from where boob lays after double mastectomy & reconstruction just started? (photo)
Is Natrella Inspira 695cc SSF with fat grafting too big? (Photo),"October 29, 2021","Charlotte, North Carolina","Hello, I’m a 27 year old who was diagnosed with breast cancer earlier this year. I had a double mastectomy done in March 2021 I now have expenders in. I was a full C-D cup size I was a 38b before. I’m still getting saline pumped to achieve my goal. But I’m looking for a second opinion. Any advice? On getting a 695cc SSF. I’m 5’5, 170lbs.",Is Natrella Inspira 695cc SSF with fat grafting too big? (Photo)
Is prepectoral implant placement safe for someone with a history of breast cancer?,"December 16, 2021","Los Angeles, California","I had a breast cancer with a silicone implant reconstruction placed behind the chest muscle. It’s been 10 yrs and time for replacement as my left breast is sagging and almost under my armpit, and another one too tight. The surgeon suggested a prepectorial procedure using alloderm. I wasn’t offered this option before. Is it now considered safe to insert implants under the skin to patients with a history of breast cancer? I’m 51 years old, 110 lbs, 5 feet. Thank you so much for your advice!!",Is prepectoral implant placement safe for someone with a history of breast cancer?
Will my nipple heal after nipple piercing nightmare or do I need a Breast Reconstruction?,"March 31, 2022","American Fork, UT",I had nipple piercng about 2 years ago but I decided to take it out moth ago.One one side piecing was in areola not nipppe.I had scab probably healng but I scratch it unortunatly. Now its hole and white leakge come out.I am not pregnant and not breestfeeding.I wanted to ask if its dangerous to have small hole/holes in niple and areola from nippple piercing?If it wil stay should I wory about cancer or other problems? Is it possible that this hole will close still?it it possible to repair?,Will my nipple heal after nipple piercing nightmare or do I need a Breast Reconstruction?
Had a lumpectomy (grade 1 infiltrating tubular tumor (9mm) I don't want tamoxifen and radiation. How risky is my decision?,"January 2, 2014","Miami, FL","I have a very healthy lifestyle, breastfed all three children (was still breastfeeding when diagnosed with third one) no history of breast cancer in the family (although this was hormonal cancer) Is there anything other than radiation and tamoxifen to lower the risks of an overproduction of estrogen? Is that what triggers this kind of breast cancer?",Had a lumpectomy (grade 1 infiltrating tubular tumor (9mm) I don't want tamoxifen and radiation. How risky is my decision?
Right Implants for Reconstruction After Mastectomy to Achieve D Cup?,"May 24, 2012",Ohio,"I'm going to have breast reconstruction due to a double mastectomy, I have tissue expanders 600cc, I'm 22 years old, 5'6"", 132 pounds,34"" ribcage. How many cc are needed for a ""D cup""? Which proyection I have to use Medium or high profile?",Right Implants for Reconstruction After Mastectomy to Achieve D Cup?
One month after reconstruction of my breast fold should I still be experiencing stabbing pain?,"November 14, 2013",,5 years ago I received PS 460 cc implants and my right breast fold pulled down. one month ago i went to new PS reduced implants to 420cc and reconstruction of the fold. dr.told me that the fold should be down by now and its not. but he reassures me it looks good and will be fine. I am still in a great deal of pain on the right side especially where the fold has not fallen yet. i cannot work a full day yet and i am exhausted from the continuous pain. should i be in this amount of pain still.,One month after reconstruction of my breast fold should I still be experiencing stabbing pain?
My implant from my latissimus dorsi surgery has slid to my back,"December 29, 2013",,"At first we thought it was a seroma, but then realized that the silicone implant had moved to my back.I knelt down on the floor on all fours and my husband was able to manipulate the implant back to the front. I have put on my post op bra and added support under my arm. Is it ok to wait till tomorrow to see my plastic surgeon? Original surgery was done 11-22-13. Also this breast had been radiated when I had breast cancer in 1993. The radiated tissue has been an issue.",My implant from my latissimus dorsi surgery has slid to my back
What is the increased risk with the periareolar vs. inframamory incision with concentric mastopexy and Breast Augmentation?,"January 13, 2014",,I would like to have the implant put in at the areola vs and inframamory incision since I am having the concentric mastopexy. My physician suggested the inframamory incision because of reduced incidence of capsular contracture and the ability to insert the silicon 304cc implant through the areola. Is there an increased risk of CC and loss of sensitivity and nipple response? Could my nipples be to small (They are 1.5 inches in diameter) to fit the implant causing trauma or increased risks?,What is the increased risk with the periareolar vs. inframamory incision with concentric mastopexy and Breast Augmentation?
Tissue expander placed in becomes itchy?,"November 10, 2013",,"I had a tissue expander surgery on October 24th this year and last week got my first injection of saline. The skin being expanded is super itchy but I can't scratch it since I'm scared that I could break my expander and also it's quite painful if I apply pressure. Is the itchiness normal? Is there a way to stop the itchiness? Please help, it's driving me nuts!",Tissue expander placed in becomes itchy?
Ongoing pain after port insertion to assist with chemo? (photo),"November 10, 2013",,"I had a port inserted to assist with the chemo, the port was inserted to deep and it was never use due to this. I then had the port removed in February this year and I had another surgery in the same are as there was sceptics in the area I still had extreme pain and the surgery the did a keloid surgery in September to try sort out the pain but the pain is still extreme to the degree that I can hardly function what could be done to assist. it is deep inner pain as well as sentivity on the surface",Ongoing pain after port insertion to assist with chemo? (photo)
Can I take skin from my right side at the same time as reconstruction for my left side? (photo),"December 15, 2013","Montreal, QC","My question is: can my plastic surgeon take skin on my right side (preventive mastectomy) at the same time as reconstruction my left side both side will have implants ??? I had radiation that ended in june 2013 so my 6 mounth is done, and my skin is still a bit dum but look great",Can I take skin from my right side at the same time as reconstruction for my left side? (photo)
Prophylactic mastectomy with immediate reconstruction - Am I increasing the risk of skin not lasting the surgery,"March 8, 2014",London,"I am 33 y.o., 5'6"", ribcage 31inch, breast width 13cm. I have a prophylactic mastectomy planned with immediate reconstruction - mentor cpg 322 330cc with a tiloop mesh (L). My skin is already fairly thin. Currently I am 32B (small) with one breast 32A. I was offered a choice of Mentor 322 295cc or 330cc as option (suggested smaller), but I chose bigger one. Am I going to big considering a lot of stress already put on the skin? Thank you.",Prophylactic mastectomy with immediate reconstruction - Am I increasing the risk of skin not lasting the surgery
Post op tnbc in left breast.lumpectomy both breasts much smaller. Will I be eligible for reconstructive surgery?,"January 26, 2014",,They are now uneven much smaller and no longer firm due to operation and loss of weight. Will I be eligible for re-constructive surgery to both breasts?,Post op tnbc in left breast.lumpectomy both breasts much smaller. Will I be eligible for reconstructive surgery?
How long after mastectomy & breast reconstruction can you open heavy doors?,"February 19, 2014",,"I had a prophelactic mastectomy & direct to implant reconstruction 2 1/2 weeks ago. I understand that I am not to lift heavy objects. Am I allowed to open heavy doors, if I use both hands? My parents have been taking care of me, but considering going back home. I live alone, so would need to open heavy apartment door to do so. My doctors say that I'm healing well. I've been walking around and doing my range of motion exercises.",How long after mastectomy & breast reconstruction can you open heavy doors?
I wonder why there is such a variation in an answer? From infection/cellulitis to just watch it.,"February 15, 2014",,"I know it is hard to assess from a picture. My PS says its a little fluid and will dissipate. He doesn't think it's infection or a reaction to the alloderm or ""red breast"". The bra pressure does irritate it so bigger bras it is. Is some better, no worse. He has seen it 2 wks in a row. I have no fever or other signs if infection. It's a bit more red currently because I had a tighter bra on for 14 hrs today at work.Here is a link to my previous question.",I wonder why there is such a variation in an answer? From infection/cellulitis to just watch it.
9 Surgeries. Thin skin. Pectoral muscle removed due reaction to Alloderm. Bilateral lat flap with expanders on 9/19/13? (photo),"December 8, 2013",,"I had NO chest left. Before surgery, looked like someone had scooped out chest with scoop. 1 week post op, rt side drained and oozed black. Very heavy scabbing. Appears scar formed to either chest wall or expander and is restricting fluid fill into lower part of breast. Only 340 cc fill so far. Note mound above breast. PS says we should flip with oversized permanent implants. Concerned of appearance. Would prefer to leave expander and revise scar so fill can continue. Is this possible?",9 Surgeries. Thin skin. Pectoral muscle removed due reaction to Alloderm. Bilateral lat flap with expanders on 9/19/13? (photo)
"After implant is put in, to achieve symmetry w/ native breast, should I have PS cut/move nipple or remove it during TE exchange?","December 13, 2013",,"I had a SNP sparing uni mastectomy; Tissue Expander exchange scheduled for 2014. We're trying to match the native (left) breast, PS said he might move the right nipple during the exchange surgery. Might be a chance he won't. I'm inclined toward removing nipple if it doesn't line up to the left. I don't want another incision, nor to risk necrosis/infection, just to have another surgery to remove the nipple. I haven't had radiation, and I don't smoke, so maybe the complication risks are slim.","After implant is put in, to achieve symmetry w/ native breast, should I have PS cut/move nipple or remove it during TE exchange?"
I had reconstructive surgery and they look crooked. R breast is bigger drops lower than left breast. Will they even out?,"December 13, 2013",,I had a lumpectomy on left breast 4 years ago with lumpectomy with chemo and radiation. Sept 2013 had bilateral mastectomy with reconstruction. This December 2013 had surgery where expanders were replaced with permanent silicone implants. The surgeon took out a lot of scar tissue on left breast with lipo suction on both sides. I want to add photo but your web site does nothing when I click on add photo. How can I add the photo I took? Is there an email I can send it to?,I had reconstructive surgery and they look crooked. R breast is bigger drops lower than left breast. Will they even out?
What causes lighter colored areolas after mastopexy?,"January 21, 2014",,,What causes lighter colored areolas after mastopexy?
I had capsular contraction and rupture of left breast 10years after mastectomy and had right breast reduction 2months ago?,"November 16, 2013",,i had the reduction on right side and brazilan gel 432 cc implant in left after rupture implant was removed and breast reduction and slightly smaller implant in right breast it is still tight and bit sore is this normal,I had capsular contraction and rupture of left breast 10years after mastectomy and had right breast reduction 2months ago?
Why do I keep getting an infection when my right tissue expander in placed?,"December 22, 2013",,In Sept 2012 I had a bilateral mastectomy. expanders where placed at the time of the mastectomy. In Octof 2012 the right tissue expander was removed due to infection. In Nov after antibiotics the expander was replaced. looked good until Dec when the infection reoccurred and it was decided to remove expanders to give my body time to heal. Nov2013 I had expanders put in and Dec noticed that the right side was looking red by Sun headed for the er and meet with surgeon to have the right removed,Why do I keep getting an infection when my right tissue expander in placed?
Should I call my plastic surgeon immediately?,"November 13, 2013",,"had a right breast reduction in Feb. 2013.left mastectomy at same time with failed reconstruction.(implant,then tissue expander). My right breast has just become reddened and warm. no pain or tenderness. no open areas and no drainage. I am scheduled for a latissimus dorsi flap in less than a week. what is going on with my right breast. I healed really well without complications on right",Should I call my plastic surgeon immediately?
Moving a breast expander. Will it be possible to move it further down or is it fixed in place?,"May 20, 2022","Scotland, United Kingdom",I had a double mastectomy with expanders one was a delayed from prior mastectomy and one was straight to expander skin sparing. Due to incision opening on the delayed side the expander was removed and replaced through a further surgery. It went back in too high and now I am lopsided . If I keep constant pressure at the top of the expander with a stretchy band will it be possible to move it further down or is it fixed in place? Alternatively will this problem be rectified at exchange surgery?,Moving a breast expander. Will it be possible to move it further down or is it fixed in place?
I am having a bilateral mastectomy next month. I decided to get an implant after surgery. Are implants safe?,"July 30, 2021","Albuquerque, New Mexico",I am having a bilateral mastectomy next month. I decided to get an implant after surgery. 1. Are implants safe? Am I too old to have implants? I am 62 2. How often would I have to replace the implants? 3. Is there more than one surgery for a breast implant? I am having the mastectomy then reconstruction?,I am having a bilateral mastectomy next month. I decided to get an implant after surgery. Are implants safe?
When can I start smoking after getting tissue expanders?,"November 14, 2021","Independence, Kansas","Hello, I am planning on getting a breast reconstruction done. One of my breasts is genetically very small and I have to get a tissue expander before switching to implants in future. As far as I know i’m not to smoke cigarettes for at least 2 weeks after the operation. But is it ok if i smoke during the time i’m having the saline injection sessions? The injection sessions are scheduled to start 2 weeks after the surgery.",When can I start smoking after getting tissue expanders?
Is a breast reduction (from DD to C) before a prophylactic mastectomy (to spare the nipple) possible?,"December 7, 2020","Denver, CO","Can this be done safely? The first surgeon I consulted said this is not something he has heard of and can be risky due to blood flow. However, I am reading that this type of surgery has good results aesthetically and may actually be better for large breasted women. Is this type of mastectomy surgery common? Well studied? Advised?",Is a breast reduction (from DD to C) before a prophylactic mastectomy (to spare the nipple) possible?
Who to fix breast implant asymmetry? (photos),"January 3, 2022","Pittsburgh, Pennsylvania","Unilateral mastectomy 2020. TE filled 780, awaiting exchange w overfilled 800cc saline implant & reduction/lift to remaining breast. Sagging significant size 44D. Want to achieve same breast shape. Worried I’ll end up w 1 circular reconstructed breast & 1 sloped breast on reduction side. TE slide to side & now have dip in cleavage. PS didn’t seem like he wanted to fix. I asked about tightening of pocket. PS sts poss Fat Grafts but seemed put out by fixing cleavage dip?",Who to fix breast implant asymmetry? (photos)
I have a small umbilical hernia. Will this need to be surgically repaired before I can have DIEP flap reconstruction?,"October 5, 2021","Cincinnati, Ohio",Breast cancer survivor. 43 yrs old in pretty good health all things considered. Scheduled to have DIEP flap reconstruction next week. Pre-op CT showed small umbilical hernia,I have a small umbilical hernia. Will this need to be surgically repaired before I can have DIEP flap reconstruction?
Tissue Expander/Implant Swap. How long do I need to wait?,"November 5, 2021","Charlotte, North Carolina","Bilat mastectomy + tissue expander placement 6-25-2021. Finished expander fills 8-20. Total 600ml each (60ml overfill). I was told that I could have my implant swap surgery in Oct. When surgery scheduler called, she said mid Jan 2022 was the soonest date available. Reason given-many people try to get in for surgery before the end of the year. No regard for the fact that I am a cancer reconstruction patient. Now waiting behind elective cosmetic procedures. Is this common? Is 5 months excessive?",Tissue Expander/Implant Swap. How long do I need to wait?
Mentor smooth implants feeling extremely sore. Is it the implant that I am feeling under my skin?,"February 8, 2022","Hamilton, Ontario, Canada","Hello, after having breast cancer in 2019, I had a double mastectomy with breast reconstruction using Mentor memory gel smooth profile xtra implants. The one side of my breast has been extremely sore and I can feel an area under my skin with tiny little nodule like bumps. Would this be the implant that I am feeling under my skin, even though it is a smooth profile implant ?",Mentor smooth implants feeling extremely sore. Is it the implant that I am feeling under my skin?
Will insurance be required to pay for breast reconstruction surgery years after breast cancer?,"February 14, 2021",,"Over 5+ years ago, I was diagnosed with DCIS in my left breast. I had a lumpectomy & went through 35 treatments of radiation of my left breast. Reconstruction surgery was never discussed because I did not have a mastectomy, but my left breast that had the breast cancer is noticeably smaller than my other one. Is it an possible to think that this man years after the fact that I could hav insurance pay for reconstruction to make other breasts even? What types of surgical options would I have?",Will insurance be required to pay for breast reconstruction surgery years after breast cancer?
Extreme breast tightness. Is there anything that can be done to help with this?,"August 10, 2021","Houston, Texas",I had a double mastectomy because of breast cancer. One side was reconstructed with implant only but the other side needed to be done using the latissimus dorsi flap plus an implant because of prior radiation. I have had no problems with the implant only side. However the ld flap side remains exremely tight...it hardly moves at all when I raise my arms above my head. It feels as thought it could pop open when i do certain movements also. Is there anything that can be done to help with this?,Extreme breast tightness. Is there anything that can be done to help with this?
I was a 36DD before my DLB mastectomy and would like to be that again. What size implants would I need to be the same?,"May 31, 2021","Duluth, Georgia","I'm a 63 year old female that was diagnosed with Stag 2 ER+ HERS- breast cancer. I'm 5""1 and 125 pounds I would like to be the size I was before my surgery.",I was a 36DD before my DLB mastectomy and would like to be that again. What size implants would I need to be the same?
"I have Congenital Symmastia, can it be fixed? (photos)","October 11, 2021","England, United Kingdom","Hi! I recently discovered that I have Congentail Symmastia and I am wondering if it can be fixed I would also like the left breast to be the same size as the right one, is this possible? TIA","I have Congenital Symmastia, can it be fixed? (photos)"
Itchy implant 10 years postop - is this normal?,"March 2, 2022","Toronto, Ontario, Canada",I had breast reconstruction over 10 years ago. I have always had itchy inside the saline implant. Is this normal ? Should I have the implant removed?,Itchy implant 10 years postop - is this normal?
Can you reconstruct chest with a previous construction?,"January 31, 2022","Scotland, United Kingdom","I had a previous surgery where They took out all the excess skin out of weight loss. They used the Anchor procedure, and Now I want to go under double incision (chest surgery) for FTM, as I am a transman, How it can be done, and would I loose the sensation in my nipples? I have been told that I might have not straight line chest with a scar in between so I want to have a second opinion..",Can you reconstruct chest with a previous construction?
Investigating Options following Necrosis - is diep flap the best option? (photos),"January 7, 2022",,"I had necrosis following a breast reduction and lift which left me with extensive scarring on the lower pole of one breast and the breast is smaller than the non-scarred breast. I have since undergone another procedure to excise, close and remove the damaged skin, and because of the damage, my dr had to do a full thickness skin graft. Unfortunately, the majority of the graft failed. Is a Diep-flap my best option at this point?",Investigating Options following Necrosis - is diep flap the best option? (photos)
Option for subfascial breast implants after a prophylactic double mastectomy in a thin patient with weak pectoral muscles?,"January 2, 2022","Avon Park, Florida",Is subfascial breast implant placement an option after a prophylactic double mastectomy (for ADH) in a thin patient with weak pectoral muscles who is otherwise healthy. I can’t find info on the internet regarding use of subfascial implants specifically for breast reconstruction after mastectomy.,Option for subfascial breast implants after a prophylactic double mastectomy in a thin patient with weak pectoral muscles?
I need to have a partial lumpectomy. Can I combine two surgeries into one? Could it be cover by my health insurance? (Photo),"February 10, 2021","Dallas, TX",I have a large fibroadenomas in my left breast and a small one in my right breast. I had a procedure once before to even the left breast with the right breast and it did not turn out so good. I already had a procedure schedule before the fibroadenomas grew and are now being recommended to be removed.,I need to have a partial lumpectomy. Can I combine two surgeries into one? Could it be cover by my health insurance? (Photo)
Can you advise on infection 8 months after flap reconstruction w/smaller implant? (Photos),"August 20, 2021",Nebraska,"I just developed a small hole along a breast incision line with purulent drainage. Seeing a PS in 3 wks, have lumpy painful breasts, with contracture, am on antibiotics from PCP. 8 mos ago I had a bilat flap reconstr w/smaller implants (different PS). I dealt with similar drainage 2 wks aft, same breast. This was 14 mos after body/breast lift (post WLS) with poor submusc aug. About 27 years prev. I had a breast reduction. Sugg for best abx or imaging until I see my PS? Due for mammogram.",Can you advise on infection 8 months after flap reconstruction w/smaller implant? (Photos)
Capsulorrhaphy to fix lateral breast waviness and dibs. Would this be any good? Can this lift my breasts? (Photos),"August 30, 2021","Los Angeles, California","Hi, I had an extended brachioplasty my ps suggested I’d have an extended one that went like a j shape to the side of my breasts. the sides of my breasts look abnormal (deformed) with dibs and waviness. I Was told I needed a Capsalorrhaphy. Would this be any good? can this lift my breasts? I’m confused on what to do. I don’t want to worsen the problem.",Capsulorrhaphy to fix lateral breast waviness and dibs. Would this be any good? Can this lift my breasts? (Photos)
Correction of Tubular breasts - What would be the best action to take? (Photos),"July 17, 2021","Independence, Kansas","I am 23 now and have struggled most of my life with misshapen tubular breasts. As I’ve gotten older the shape has improved from being very long (downwards) with a cone-like tip to slightly more round/wide. I’m not sure how severe my case is as of right now, please advise. I am open to implants, but don’t need to go much bigger than I am now - my main goals are to round out my breasts and decrease the size of my large nipples. What would be the best action to take. Thanks for you time.",Correction of Tubular breasts - What would be the best action to take? (Photos)
Is pre-pectoral reconstruction too risky for mastectomy patients?,"September 24, 2018",NYC,,Is pre-pectoral reconstruction too risky for mastectomy patients?
2+ yrs post op bilateral mastectomy. Is it possible to get rid of muscle animation and go to smaller size implants? (Photo),"May 19, 2020","Atlanta, GA","I have under the muscle implants and was told at time of mastectomy that placing implants over the muscle wasn't possible. My animation deformity is horrible. Even the simplest of arm use makes them look crazy. I also now have what I would describe as low fat ring. I assume when I had fat transferred it settled more at the bottom? I'm just wondering if fixing these problems is possible now or best to just ""deal"" with it.",2+ yrs post op bilateral mastectomy. Is it possible to get rid of muscle animation and go to smaller size implants? (Photo)
