State,University,Town
Georgia,Emory University,Atlanta
Georgia,Georgia State University,Atlanta
Georgia,Kennesaw State University,Kennesaw 
Georgia,Georgia Southern University,Statesboro 
Georgia,Savannah College of Art and Design,Savannah 
Georgia,Augusta University,Augusta
Georgia,Mercer University,Macon 
Georgia,University of West Georgia,Carrollton
Georgia,Morehouse College,Atlanta
Georgia,Valdosta State University,Valdosta
Georgia,Agnes Scott College,Decatur
Florida,Florida State College at Jacksonville,Jacksonville
Florida,Ringling College of Art and Design,Sarasota
Florida,St. Thomas University,Miami Gardens
Florida,Southeastern University,Lakeland
Florida,Palm Beach State College,Lake Worth
Florida,Palm Beach Atlantic University,West Palm Beach 
Florida,New College of Florida,Sarasota
Florida,Daytona State College,Daytona Beach
Florida,Polk State College,Winter Haven
Florida,State College of Florida-Manatee-Sarasota,Bradenton
Florida,Edward Waters University,Jacksonville
Florida,Ave Maria University,Ave Maria
Florida,AdventHealth University,Orlando
Florida,Florida SouthWestern State College,Fort Myers
Florida,Indian River State College,Fort Pierce 
Florida,Gulf Coast State College,Panama City
Florida,College of Central Florida,Ocala
Florida,Florida National University,Hialeah
Florida,Florida Memorial University,Miami Gardens
Florida,Hodges University,Naples
Florida,Northwest Florida State College,Niceville
Florida,Beacon College,Leesburg
California,Stanford University,Stanford 
Georgia,Spelman College,Atlanta
Georgia,University of North Georgia,Dahlonega
Georgia,Georgia College and State University,Milledgeville 
Georgia,Clark Atlanta University,Atlanta
Georgia,Morehouse School of Medicine,Atlanta
Georgia,Columbus State University,Columbus
Georgia,Berry College,Mount Berry
Georgia,South University,Savannah
Georgia,Oglethorpe University,Atlanta
Georgia,Clayton State University,Morrow
Georgia,Middle Georgia State University,Macon
Georgia,Albany State University,Albany
Georgia,Life University,Marietta
Georgia,Brenau University,Gainesville
Georgia,Savannah State University,Savannah
Georgia,Fort Valley State University,Fort Valley
Georgia,Georgia Gwinnett College,Lawrenceville
Georgia,Georgia Southwestern State University,Americus
Delaware,University of Delaware,Newark
Delaware,Delaware State University,Dover
Delaware,Wilmington University,New Castle 
Delaware,Goldey-Beacom College,Wilmington
Florida,Pensacola State College,Pensacola
Florida,Warner University,Lake Wales
Florida,St. Johns River State College,Palatka
Florida,Everglades University,Boca Raton 
Florida,Webber International University,Babson Park
Florida,Florida College,Temple Terrace
Florida,Chipola College,Marianna
Florida,Florida Gateway College,Lake City
Florida,Trinity College of Florida,Trinity
Florida,The Baptist College of Florida,Graceville 
California,"University of California, Berkeley",Berkeley 
California,"University of California, Los Angeles",Los Angeles 
California,"University of California, San Diego",San Diego 
California,University of Southern California,Los Angeles
California,"University of California, Davis",Davis 
California,"University of California, Irvine",Irvine 
California,"University of California, Santa Barbara",Santa Barbara 
California,California Institute of Technology,Pasadena
California,"University of California, San Francisco",San Francisco 
California,"University of California, Santa Cruz",Santa Cruz 
California,"University of California, Riverside",Riverside 
California,San Diego State University,San Diego 
California,"California State University, Northridge",Northridge
Georgia,Dalton State College,Dalton
Georgia,Shorter University,Rome
Georgia,Covenant College,Lookout Mountain
Georgia,Piedmont College,Demorest
Georgia,East Georgia State College,Swainsboro 
Georgia,Wesleyan College,Macon 
Georgia,Reinhardt University,Waleska
Georgia,LaGrange College,LaGrange
Georgia,Abraham Baldwin Agricultural College,Tifton
Georgia,Paine College,Augusta
Georgia,Toccoa Falls College,Toccoa Falls 
Georgia,Brewton-Parker College,Mount Vernon
Georgia,Truett McConnell University,Cleveland
California,San José State University,San José
California,San Francisco State University,San Francisco
California,Santa Clara University,Santa Clara
California,"California Polytechnic State University, San Luis Obispo",San Luis Obispo
California,"California State University, Fullerton",Fullerton 
California,"California State University, Long Beach",Long Beach
California,"California State University, Chico",Chico
California,University of San Francisco,San Francisco
California,Pepperdine University,Malibu 
Georgia,Gordon State College,Barnesville
Georgia,Young Harris College,Young Harris
Georgia,College of Coastal Georgia,Brunswick
Georgia,"Emmanuel College, Georgia",Franklin Springs
Georgia,Atlanta Metropolitan State College,Atlanta
California,"California State University, Sacramento",Sacramento
California,University of San Diego,San Diego
California,Chapman University,Orange
California,"California State Polytechnic University, Pomona",Pomona
California,Loyola Marymount University,Los Angeles
California,Humboldt State University,Arcata
California,"California State University, San Bernardino",San Bernardino 
California,Sonoma State University,Rohnert Park
California,"California State University, Fresno",Fresno
California,Harvey Mudd College,Claremont 
California,Pomona College,Claremont
California,"University of California, Merced",Merced 
California,"California State University, Dominguez Hills",Carson 
Georgia,South Georgia State College,Douglas
Georgia,Point University,West Point
Georgia,Thomas University,Thomasville
Georgia,Beulah Heights University,Atlanta
California,"California State University, Los Angeles",Los Angeles
California,Biola University,La Mirada
California,California State University San Marcos,San Marcos 
California,University of the Pacific,Stockton 
California,Azusa Pacific University,Azusa
California,"California State University, Stanislaus",Turlock 
California,Occidental College,Los Angeles
California,Naval Postgraduate School,Monterey
California,Pitzer College,Claremont
California,"University of California, Hastings College of the Law",San Francisco
California,ArtCenter College of Design,Pasadena
California,California Institute of the Arts,Valencia
California,Claremont Graduate University,Claremont 
California,"California State University, East Bay",Hayward 
California,Academy of Art University,San Francisco
California,Claremont McKenna College,Claremont
California,"California State University, Monterey Bay",Seaside
California,National University,La Jolla
California,Golden Gate University,San Francisco 
California,California College of the Arts,San Francisco 
California,California Lutheran University,Thousand Oaks
California,Saint Mary's College of California,Moraga
California,University of Redlands,Redlands
California,Mills College,Oakland
California,"California State University, Bakersfield",Bakersfield
California,California Institute of Integral Studies,San Francisco
California,California State University Channel Islands,Camarillo
California,University of Massachusetts Global,Irvine
California,Dominican University of California,San Rafael
California,University of St. Augustine for Health Sciences,San Marcos 
California,Otis College of Art and Design,Los Angeles
California,Loma Linda University,Loma Linda
California,Whittier College,Whittier
California,California Baptist University,Riverside 
California,Westmont College,Santa Barbara
California,Western University of Health Sciences,Pomona
California,University of La Verne,La Verne 
California,Concordia University Irvine,Irvine
California,Point Loma Nazarene University,San Diego 
California,Alliant International University,San Diego 
California,Scripps College,Claremont
California,San Francisco Art Institute,San Francisco
California,Fresno Pacific University,Fresno 
California,Keck Graduate Institute,Claremont
California,Southwestern Law School,Los Angeles
California,Pacific Union College,Angwin
California,West Coast University-Los Angeles,North Hollywood
California,La Sierra University,Riverside
California,California State University Maritime Academy,Vallejo
California,Southern California Institute of Architecture,Los Angeles
California,Thomas Aquinas College,Santa Paula
California,San Francisco Conservatory of Music,San Francisco
California,Soka University of America,Aliso Viejo
California,Woodbury University,Burbank 
California,Vanguard University of Southern California,Costa Mesa 
California,California Western School of Law,San Diego
California,American Jewish University,Los Angeles 
California,The Master's University,Santa Clarita
California,University of Silicon Valley,San Jose 
California,Charles R. Drew University of Medicine and Science,Los Angeles
California,Fielding Graduate University,Santa Barbara
California,The Chicago School of Professional Psychology,Los Angeles 
California,Thomas Jefferson School of Law,San Diego
California,Holy Names University,Oakland
California,Samuel Merritt University,Oakland
California,John F. Kennedy University,Pleasant Hill 
California,NewSchool of Architecture and Design,San Diego
California,Palo Alto University,Palo Alto
California,Mount Saint Mary's University,Los Angeles
California,Hope International University,Fullerton
California,Notre Dame de Namur University,Belmont
California,Saybrook University,Pasadena
California,William Jessup University,Rocklin 
California,Menlo College,Atherton 
California,Pacifica Graduate Institute,Carpinteria 
California,Touro University California,Vallejo
California,Columbia College Hollywood,Tarzana
California,Simpson University,Redding
California,Life Pacific College,San Dimas 
California,Marshall B. Ketchum University,Fullerton 
California,University of the West,Rosemead
California,Pardee RAND Graduate School,Santa Monica
California,Marymount California University,Rancho Palos Verdes
California,Pacific Oaks College,Pasadena
California,Humphreys University,Stockton
California,Laguna College of Art and Design,Laguna Beach
California,San Diego Christian College,Santee
California,American Film Institute Conservatory,Los Angeles
California,John Paul the Great Catholic University,Escondido
California,Sofia University,Palo Alto
California,Dominican School of Philosophy & Theology,Berkeley
California,San Joaquin College of Law,Clovis
California,The Wright Institute,Berkeley
California,Dharma Realm Buddhist University,Ukiah
California,United States University,San Diego
California,Bethesda University,Anaheim
California,The University of West Los Angeles,Inglewood
California,Providence Christian College,Pasadena
California,Antioch University Santa Barbara,Santa Barbara
California,Antioch University Los Angeles,Culver City
California,Irell and Manella Graduate School of Biological Sciences,Duarte
Arkansas,University of Arkansas,Fayetteville
Arkansas,University of Arkansas at Little Rock,Little Rock
Arkansas,Arkansas State University,Jonesboro
Arkansas,University of Central Arkansas,Conway
Arkansas,University of Arkansas for Medical Sciences,Little Rock
Arkansas,Harding University,Searcy 
Arkansas,Hendrix College,Conway
Arkansas,Arkansas Tech University,Russellville
Arkansas,John Brown University,Siloam Springs
Arkansas,Southern Arkansas University,Magnolia
Arkansas,Ouachita Baptist University,Arkadelphia
Arkansas,Henderson State University,Arkadelphia
Arkansas,University of Arkansas at Monticello,Monticello
Arkansas,University of Arkansas at Pine Bluff,Pine Bluff
Arkansas,Lyon College,Batesville
Arkansas,University of Arkansas - Fort Smith,Fort Smith
Arkansas,University of the Ozarks,Clarksville
Arkansas,Philander Smith College,Little Rock
Arkansas,Arkansas Baptist College,Little Rock
Arkansas,Central Baptist College,Conway
Arkansas,Williams Baptist University,Walnut Ridge
Arkansas,Crowley's Ridge College,Paragould
Arkansas,Ecclesia College,Springdale
District of Columbia,Georgetown University,Washington
District of Columbia,George Washington University,Washington 
District of Columbia,American University,Washington
District of Columbia,Howard University,Washington
District of Columbia,The Catholic University of America,Washington
District of Columbia,Gallaudet University,Washington
District of Columbia,Strayer University,Washington 
District of Columbia,National Defense University,Fort Lesley J McNair
District of Columbia,University of the District of Columbia,Washington
District of Columbia,Trinity Washington University,Washington
District of Columbia,The Institute of World Politics,Washington
District of Columbia,University of the Potomac,Washington 
District of Columbia,Pontifical Faculty of the Immaculate Conception,Washington
Arizona,Arizona State University,Tempe 
Arizona,The University of Arizona,Tucson
Arizona,Northern Arizona University,Flagstaff 
Arizona,Grand Canyon University,Phoenix
Arizona,Prescott College,Prescott
Arizona,University of Advancing Technology,Tempe
Arizona,Arizona Christian University,Phoenix
Arizona,The School of Architecture,Cosanti
Hawaii,University of Hawaii at Manoa,Honolulu
Hawaii,Hawaii Pacific University,Honolulu
Hawaii,Brigham Young University-Hawaii,Laie
Hawaii,Chaminade University of Honolulu,Honolulu
Hawaii,University of Hawaii at Hilo,Hilo
Hawaii,University of Hawaii-West Oahu,Kapolei
Alaska,University of Alaska Fairbanks,Fairbanks 
Alaska,Alaska Pacific University,Anchorage
Alaska,University of Alaska Southeast,Juneau 
Alaska,University of Alaska Anchorage,Anchorage
Alaska,Alaska Bible College,Palmer
Alabama,The University of Alabama,Tuscaloosa
Alabama,Auburn University,Auburn
Alabama,University of Alabama at Birmingham,Birmingham
Alabama,The University of Alabama in Huntsville,Huntsville
Alabama,Troy University,Troy 
Alabama,Samford University,Birmingham
Alabama,University of South Alabama,Mobile
Alabama,Tuskegee University,Tuskegee
Alabama,Jacksonville State University,Jacksonville
Alabama,University of North Alabama,Florence
Alabama,Alabama State University,Montgomery
Alabama,Auburn University at Montgomery,Montgomery
Alabama,The University of West Alabama,Livingston
Alabama,Spring Hill College,Mobile
Alabama,Alabama A&M University,Huntsville
Alabama,University of Montevallo,Montevallo
Alabama,Birmingham-Southern College,Birmingham
Alabama,Athens State University,Athens
Alabama,Faulkner University,Montgomery
Alabama,Talladega College,Talladega
Alabama,Huntingdon College,Montgomery
Alabama,Oakwood University,Huntsville
Alabama,University of Mobile,Mobile
Alabama,United States Sports Academy,Daphne
Oregon,Oregon State University,Corvallis 
Oregon,University of Oregon,Eugene 
Oregon,Portland State University,Portland
Oregon,Oregon Health & Science University,Portland 
Oregon,Reed College,Portland
Oregon,Willamette University,Salem
Oregon,Lewis & Clark College,Portland
Oregon,Pacific University,Forest Grove
Oregon,Western Oregon University,Monmouth
Oregon,Southern Oregon University,Ashland 
Oregon,University of Portland,Portland
Alabama,Miles College,Fairfield
Alabama,Stillman College,Tuscaloosa
Alabama,Judson College,Marion
Alabama,Heritage Christian University,Florence
Oregon,George Fox University,Newberg
Oregon,Eastern Oregon University,La Grande
Oregon,Oregon Institute of Technology,Klamath Falls
Oregon,Linfield University,McMinnville 
Oregon,Warner Pacific College,Portland
Oregon,Corban University,Salem
Oregon,Multnomah University,Portland 
Oregon,University of Western States,Portland
Oregon,Bushnell University,Eugene
Oregon,New Hope Christian College,Eugene
Connecticut,Yale University,New Haven
Connecticut,University of Connecticut,Storrs 
Connecticut,Quinnipiac University,Hamden
Connecticut,Wesleyan University,Middletown
Connecticut,Trinity College,Hartford
Connecticut,Central Connecticut State University,New Britain
Connecticut,Connecticut College,New London
Connecticut,Fairfield University,Fairfield
Connecticut,University of Hartford,West Hartford
Connecticut,Sacred Heart University,Fairfield 
Connecticut,University of New Haven,West Haven 
Connecticut,Southern Connecticut State University,New Haven
Connecticut,Western Connecticut State University,Danbury
Connecticut,University of Bridgeport,Bridgeport 
Connecticut,Eastern Connecticut State University,Willimantic
Connecticut,United States Coast Guard Academy,New London
Connecticut,Post University,Waterbury
Connecticut,Albertus Magnus College,New Haven
Connecticut,Goodwin University,East Hartford
Connecticut,University of Saint Joseph,West Hartford
Connecticut,Mitchell College,New London
Connecticut,Holy Apostles College and Seminary,Cromwell
Oklahoma,The University of Oklahoma,Norman 
Oklahoma,Oklahoma State University,Stillwater 
Oklahoma,The University of Tulsa,Tulsa
Oklahoma,The University of Oklahoma Health Sciences Center,Oklahoma City
Oklahoma,Oral Roberts University,Tulsa
Oklahoma,Oklahoma City University,Oklahoma City
Oklahoma,University of Central Oklahoma,Edmond
Oklahoma,Northeastern State University,Tahlequah
Oklahoma,Rogers State University,Claremore
Oklahoma,Southern Nazarene University,Bethany 
Oklahoma,Cameron University,Lawton 
Oklahoma,Southeastern Oklahoma State University,Durant
Oklahoma,Oklahoma Christian University,Edmond 
Oklahoma,Southwestern Oklahoma State University,Weatherford 
Oklahoma,East Central University,Ada
Oklahoma,Oklahoma Baptist University,Shawnee
Oklahoma,Langston University,Langston
Oklahoma,Oklahoma Wesleyan University,Bartlesville
Oklahoma,University of Science and Arts of Oklahoma,Chickasha
Oklahoma,Oklahoma Panhandle State University,Goodwell
Oklahoma,Northwestern Oklahoma State University,Alva 
Oklahoma,Mid-America Christian University,Oklahoma City
Oklahoma,Bacone College,Muskogee
Oklahoma,Southwestern Christian University,Bethany 
Wisconsin,University of Wisconsin-Madison,Madison
Wisconsin,University of Wisconsin-Milwaukee,Milwaukee
Wisconsin,Marquette University,Milwaukee
Wisconsin,University of Wisconsin-Eau Claire,Eau Claire
Wisconsin,University of Wisconsin-Stevens Point,Stevens Point
Wisconsin,Medical College of Wisconsin,Milwaukee
Wisconsin,University of Wisconsin-Green Bay,Green Bay
Wisconsin,University of Wisconsin-La Crosse,La Crosse
Wisconsin,University of Wisconsin-Oshkosh,Oshkosh
Wisconsin,University of Wisconsin-Whitewater,Whitewater
Wisconsin,University of Wisconsin-Stout,Menomonie
Wisconsin,Beloit College,Beloit
Wisconsin,Lawrence University,Appleton
Wisconsin,Milwaukee School of Engineering,Milwaukee
Wisconsin,University of Wisconsin-Platteville,Platteville
Wisconsin,University of Wisconsin-River Falls,River Falls
Wisconsin,University of Wisconsin-Parkside,Kenosha
Wisconsin,St. Norbert College,De Pere
West Virginia,West Virginia University,Morgantown 
West Virginia,Marshall University,Huntington
West Virginia,Shepherd University,Shepherdstown
West Virginia,West Virginia State University,Institute
West Virginia,Wheeling University,Wheeling
West Virginia,Concord University,Athens
West Virginia,University of Charleston,Charleston
West Virginia,Fairmont State University,Fairmont
West Virginia,West Virginia Wesleyan College,Buckhannon
West Virginia,West Liberty University,West Liberty
West Virginia,Bethany College,Bethany
West Virginia,Alderson Broaddus University,Philippi
West Virginia,West Virginia University at Parkersburg,Parkersburg
West Virginia,Davis and Elkins College,Elkins
West Virginia,West Virginia School of Osteopathic Medicine,Lewisburg
West Virginia,Glenville State College,Glenville
West Virginia,Bluefield State College,Bluefield
West Virginia,Salem University,Salem
Washington,University of Washington,Seattle 
Washington,Washington State University,Pullman
Washington,Western Washington University,Bellingham
Washington,Seattle University,Seattle
Washington,The Evergreen State College,Olympia
Washington,Central Washington University,Ellensburg 
Washington,Gonzaga University,Spokane
Washington,Seattle Pacific University,Seattle
Washington,Eastern Washington University,Cheney
Washington,Whitman College,Walla Walla
Washington,Pacific Lutheran University,Tacoma
Washington,University of Puget Sound,Tacoma
Washington,Bellevue College,Bellevue
Washington,Bastyr University,Kenmore
Washington,Seattle Central College,Seattle
Washington,Whitworth University,Spokane
Washington,Saint Martin's University,Lacey
Wisconsin,Carthage College,Kenosha
Wisconsin,Concordia University Wisconsin,Mequon
Wisconsin,Herzing University,Madison
Wisconsin,Carroll University,Waukesha 
Wisconsin,Alverno College,Milwaukee
Wisconsin,University of Wisconsin-Superior,Superior
Wisconsin,Edgewood College,Madison
Wisconsin,Ripon College,Ripon
Wisconsin,Cardinal Stritch University,Milwaukee
Wisconsin,Viterbo University,La Crosse
Wisconsin,Northland College,Ashland
Wisconsin,Wisconsin Lutheran College,Milwaukee
Wisconsin,Lakeland University,Plymouth
Wisconsin,Mount Mary University,Milwaukee
Wisconsin,Maranatha Baptist University,Watertown
Wisconsin,"Marian University, Wisconsin",Fond du Lac
Wisconsin,Milwaukee Institute of Art and Design,Milwaukee
Wisconsin,Bellin College,Green Bay
Virginia,University of Virginia,Charlottesville 
Virginia,Virginia Polytechnic Institute and State University,Blacksburg
Virginia,George Mason University,Fairfax
Virginia,Virginia Commonwealth University,Richmond
Virginia,College of William & Mary,Williamsburg
Virginia,Liberty University,Lynchburg
Virginia,Old Dominion University,Norfolk
Virginia,James Madison University,Harrisonburg
Virginia,University of Richmond,Richmond
Virginia,Washington and Lee University,Lexington
Virginia,Radford University,Radford
Virginia,Sweet Briar College,Sweet Briar
Virginia,Regent University,Virginia Beach
Virginia,University of Mary Washington,Fredericksburg
West Virginia,Ohio Valley University,Vienna
West Virginia,Appalachian Bible College,Mount Hope
Washington,City University of Seattle,Seattle 
Washington,Walla Walla University,College Place
Washington,Cornish College of the Arts,Seattle
Washington,Northwest University,Kirkland 
Washington,Lake Washington Institute of Technology,Kirkland
Washington,Heritage University,Toppenish
Washington,Columbia Basin College,Pasco
Washington,Centralia College,Centralia
Washington,Antioch University Seattle,Seattle
Vermont,University of Vermont,Burlington
Vermont,Middlebury College,Middlebury
Vermont,Champlain College,Burlington 
Vermont,Norwich University,Northfield
Vermont,Saint Michael's College,Colchester 
Vermont,Bennington College,Bennington
Vermont,Vermont Law School,South Royalton
Vermont,SIT Graduate Institute,Brattleboro
Vermont,Northern Vermont University,Johnson 
Vermont,Goddard College,Plainfield 
Vermont,Castleton University,Castleton
Vermont,Vermont Technical College,Randolph
Vermont,"Sterling College, Vermont",Craftsbury Common
Vermont,Landmark College,Putney
Vermont,Vermont College of Fine Arts,Montpelier
Wisconsin,Wisconsin School of Professional Psychology,Milwaukee
Utah,The University of Utah,Salt Lake City
Utah,Brigham Young University,Provo
Utah,Utah State University,Logan 
Utah,Weber State University,Ogden 
Utah,Utah Valley University,Orem 
Utah,Southern Utah University,Cedar City
Utah,Westminster College,Salt Lake City
Utah,Utah Tech University,St. George
Utah,Snow College,Ephraim
Utah,Rocky Mountain University of Health Professions,Provo
Virginia,Christopher Newport University,Newport News
Virginia,Hampton University,Hampton
Virginia,Longwood University,Farmville
Virginia,Virginia Military Institute,Lexington
Virginia,Eastern Virginia Medical School,Norfolk
Virginia,Roanoke College,Salem
Virginia,Marymount University,Arlington
Virginia,Eastern Mennonite University,Harrisonburg 
Virginia,Shenandoah University,Winchester
Virginia,Norfolk State University,Norfolk
Virginia,University of Lynchburg,Lynchburg
Virginia,Virginia State University,Petersburg
Virginia,ECPI University,Virginia Beach
Virginia,Hollins University,Roanoke
Virginia,Hampden-Sydney College,Hampden-Sydney
Virginia,Bridgewater College,Bridgewater
Virginia,Randolph-Macon College,Ashland
Virginia,Virginia Wesleyan University,Virginia Beach
Virginia,Mary Baldwin University,Staunton
Virginia,Ferrum College,Ferrum
Virginia,Virginia Union University,Richmond
Texas,The University of Texas at Austin,Austin
Virginia,Randolph College,Lynchburg
Virginia,Emory & Henry College,Emory 
Virginia,Averett University,Danville 
Virginia,Bluefield College,Bluefield
Virginia,The University of Virginia's College at Wise,Wise
Virginia,Southern Virginia University,Buena Vista
Virginia,Appalachian College of Pharmacy,Oakwood
Texas,Texas A&M University,College Station
Texas,William Marsh Rice University,Houston
Texas,University of Houston,Houston
Texas,University of North Texas,Denton 
Texas,Baylor University,Waco
Texas,Southern Methodist University,Dallas
Texas,Texas Tech University,Lubbock
Texas,The University of Texas at Dallas,Richardson
Texas,The University of Texas MD Anderson Cancer Center,Houston
Texas,The University of Texas at Arlington,Arlington
Texas,The University of Texas at San Antonio,San Antonio
Texas,Texas State University,San Marcos 
Texas,Baylor College of Medicine,Houston
Texas,The University of Texas at El Paso,El Paso
Texas,University of Texas Southwestern Medical Center,Dallas
Texas,The University of Texas Medical Branch at Galveston,Galveston
Texas,Texas Christian University,Fort Worth
Texas,The University of Texas Health Science Center at San Antonio,San Antonio
Texas,The University of Texas Health Science Center at Houston,Houston
Texas,Sam Houston State University,Huntsville
Texas,Lamar University,Beaumont
Texas,University of Texas Rio Grande Valley,Edinburg 
Texas,Trinity University,San Antonio
Texas,Stephen F. Austin State University,Nacogdoches
Texas,Texas A&M University-Corpus Christi,Corpus Christi
Texas,Texas Tech University Health Sciences Center,Lubbock 
Texas,West Texas A&M University,Canyon 
Texas,Texas Woman's University,Denton 
Texas,Abilene Christian University,Abilene
Texas,St. Edward's University,Austin
Texas,Southwestern University,Georgetown
Texas,Angelo State University,San Angelo
Texas,Texas A&M University-Commerce,Commerce
Texas,Texas Southern University,Houston
Texas,St. Mary's University,San Antonio
Texas,Tarleton State University,Stephenville 
Texas,Midwestern State University,Wichita Falls
Texas,The University of Texas at Tyler,Tyler 
Texas,University of the Incarnate Word,San Antonio
Texas,Texas A&M University-Kingsville,Kingsville
Texas,Houston Baptist University,Houston
Texas,Prairie View A&M University,Prairie View 
Texas,University of Dallas,Irving
Texas,University of Houston-Clear Lake,Houston 
Texas,University of Houston-Downtown,Houston
Texas,Texas A&M University at Galveston,Galveston
Texas,Texas A&M International University,Laredo
Texas,University of North Texas Health Science Center,Fort Worth
Texas,Concordia University Texas,Austin
Texas,Austin College,Sherman
Texas,Dallas Baptist University,Dallas
