Question Asked,Date Question Asked,Posters Location,Text of Question,Question Header,Question Type,Tag
Tissue expander placed in becomes itchy?,10-Nov-13,,"I had a tissue expander surgery on October 24th this year and last week got my first injection of saline. The skin being expanded is super itchy but I can't scratch it since I'm scared that I could break my expander and also it's quite painful if I apply pressure. Is the itchiness normal? Is there a way to stop the itchiness? Please help, it's driving me nuts!",Tissue expander placed in becomes itchy?,After Procedure Only,tissue expander
Is There Any Reason to Leave Tissue Expanders in Alongside Gel Filled Implants?,3-Jun-10,Michigan,I was told through a mri with dye that you could see the nipple of the expander. I thought i had those removed when my implants were put in.,Is There Any Reason to Leave Tissue Expanders in Alongside Gel Filled Implants?,After Procedure Only,tissue expander
Will Tissue Expander Failure Affect Breast Implants?,12-May-09,"Indiana, IN","Bi-Lateral Mastectomy, reconstruction with tissue expanders, one expander is not expanding. It did, now it appears after 4 weeks and no expansion that it has a hole and I am deflating.?Will this problem affect the outcome of my implant surgery to be done in 4 weeks?",Will Tissue Expander Failure Affect Breast Implants?,After Procedure Only,tissue expander
"I Have Severe Pain After the Exchange of Tissue Expanders for Silicone Implants 2.5 Weeks Ago, Why Would this Be?",16-Jan-12,New York,"I had a b/l mastectomy for DCIS in 9/2011 with tissue expander placement (with Alloderm) and was always very uncomfortable with the expanders. I am not a good candidate for flaps so we hoped that the discomfort would improve with implants. However, it is worse now than before, especially laterally and at the inferior pole. Of note, I did not have pain for 1.5 weeks after the exchange, it then became gradually worse. There is no infection and no seroma. My surgeon does not know why this happened.","I Have Severe Pain After the Exchange of Tissue Expanders for Silicone Implants 2.5 Weeks Ago, Why Would this Be?",After Procedure Only,tissue expander
"If I Have a Bilateral Prophylactic Mastectomy, What is my Best Option for a Natural Looking Reconstruction?",24-Sep-13,,"I am a 23 y/o female of Ashkenazi descent (w/ 1 case of breast cancer in the family) about to be tested for BRCA mutations. If needed, I plan to have a double mastectomy. As someone who has never considered breast augmentation before, I am concerned about reconstructing natural looking (& feeling) breasts. I am 5'3, 112 lb, & 32B. I'd like to stay a B or maybe a small C. While I wait to find out the results, I would like to learn about my options (fat transfer, silicon, etc.). Thank you!","If I Have a Bilateral Prophylactic Mastectomy, What is my Best Option for a Natural Looking Reconstruction?",Before Procedure Only,bilateral mastectomy
Reconstruction After Cancer. How Do I Find My Surgeon?,13-Jun-12,"Los Angeles, CA",I was diagnosed with triple-negative breast cancer had a partial mastectomy & will recieve chemo for 8 weeks. Pathology was node negative + no evidence of lymphatic involvement but due to the fact that I have a number of risk factors for reccurence I will also have a prophelatic bi-lateral mastectomy. How do I find a Cosmetic Surgeon who does this type of reconstruction surgery and what type of reconstruction yields the best cosmetic results? I assume I'll need a Surgical Oncologist as well,Reconstruction After Cancer. How Do I Find My Surgeon?,Before Procedure Only,bilateral mastectomy
Any reconstructive surgeons in the Sacramento region take medi cal patients for breast reconstruction? Thank You,21-May-14,,"I am 29. I have Stage 3A IDC HER2/NEU+ cancer of the right breast. I underwent a bilateral mastectomy last July. I have just finished chemo and radiation. I want to reconstruct both breasts this fall. I can not find a surgeon in the Sacramento, CA region to take my BCCTP Medi Cal plan. I am very disappointed, my only option may be a surgeon out of UCSF a 3 hour trip from my home. Please help me! Thank You.",Any reconstructive surgeons in the Sacramento region take medi cal patients for breast reconstruction? Thank You,Before Procedure Only,bilateral mastectomy
Can you sleep on your stomach again after reconstructive surgery following bilateral mastectomy with silicone implants?,1-Aug-14,"Long Island, NY",,Can you sleep on your stomach again after reconstructive surgery following bilateral mastectomy with silicone implants?,Before Procedure Only,bilateral mastectomy
Can Alloderm Be Used to Replace a Small Breast Implant?,5-Jun-11,"New York, NY","I am 41 years old, was diagnosed with DCIS last year and had lumpectomy without radiation. I am considering a unilateral mastectomy for the breast that had DCIS and was wondering if alloderm may be molded into a breast and used instead of implants or any flap surgery. I am a size AA and would rather keep my size or even go smaller than undergo an implant or flap surgery (although I still want the shape/cup of a breast). Thank you very much.",Can Alloderm Be Used to Replace a Small Breast Implant?,Before Procedure Only,breast cancer
When to Be Tested for Breast Cancer After Treatments Are Completed?,18-Dec-12,,"I was diagnosed with Stage III breast cancer (with lymph node involvement). I had a mastectomy, chemo, and radiation. How long should I (typically) wait to be re-tested for cancer?",When to Be Tested for Breast Cancer After Treatments Are Completed?,Before Procedure Only,breast cancer
I currently have expanders placed and have had a subcutaneous local recurrence of breast cancer. When should radiation occur?,30-Mar-14,,I am in the midst of breast reconstruction and have had a local recurrence in the scar line of my mastectomy. I am undergoing chemo and will require radiation. There has been a CPR to the chemo. No lymph node involvement either time. My surgeon will be re-excising the scar/skin around the recurrence and plans to place implants at the same time. The cancer side is being over-expanded to accommodate surgery and rads. Should radiation occur before or after implant placement?,I currently have expanders placed and have had a subcutaneous local recurrence of breast cancer. When should radiation occur?,Before Procedure Only,breast cancer
Post breast Cancer Mastectomy I have developed capsular contracture. Do you recommend capsulotomy or capsulectomy?,"April 7, 2014",,I have developed capsular contracture post bilateral prophylactic mastectomy eight months ago with reconstruction and saline implant (under pectoral muscle) . The hardening occurred soon after surgery. I am concerned that the contracture will occur again. I am doing massage and taking Singular.,Post breast Cancer Mastectomy I have developed capsular contracture. Do you recommend capsulotomy or capsulectomy?,Before Procedure Only,breast cancer
Will I Be Able to Stay the Same Bust Size After Double Mastectomy?,15-Jan-13,,Im a 36E/F and would like to stay close to my same size. Im 32 and used to having large breasts as well as getting properly sized and fitted.I don't have any problems with pain or finding the correct lingerie. How realistic is it for me to do this? I will be having radiation after surgery as well. Can I stay large without looking totally fake? Im 5'8" so my bust doesn't look and as large as it is. What's a realistic expectation for me?,Will I Be Able to Stay the Same Bust Size After Double Mastectomy?,Before Procedure Only,double mastectomy
Breast Implants vs Tissue Fillers for Breast Reconstruction,26-Dec-08,"Bi Gstone Gap, Virginia","I have breast cancer, and will undergo mastectomy, but my insurance will not approve the use of Alloderm for the reconstruction because they say its investigational. If this is the case, what are my other options?",Breast Implants vs Tissue Fillers for Breast Reconstruction,Before Procedure Only,implant
Can my Existing Implant Behind the Muscle Be Left in with a Mastectomy?,6-Feb-13,,"I recently found a lump in my breast and an ultrasound showed a tumor and swollen lymph node. I have not received a biopsy yet, but my doctor is referring me to a specialist and has already used the word ""mastectomy"". I hope I am getting ahead of myself, but looking at my options if it is cancerous. I have saline implants behind the muscle. My breast tissue is very small and I'm wondering if I chose a mastectomy, could my implant remain in without any further reconstruction?",Can my Existing Implant Behind the Muscle Be Left in with a Mastectomy?,Before Procedure Only,implant
Implants vs. Tissue for Breast Recontruction After Prophylactic Mastectomy,2-Aug-11,"Westport, CT","I am a 36 yo thin, healthy, small breasted, BRCA1+ woman. I am planning a prophylactic nipple sparing double mastectomy. Because I am healthy, my surgeons say that the choice is mine -- either option (implant or tissue) will work well for me. I am wondering which reconstruction option will offer a more natural look and feel for small breasts?",Implants vs. Tissue for Breast Recontruction After Prophylactic Mastectomy,Before Procedure Only,implant
"Are Behind the Pectoral Muscle Breast Implants Ok After Lumpectomy, with or Without Radiation?",15-Sep-12,"Albany, NY","I've been recently diagnosed with Stage 1 DCIS, and going to undergo lumpectomy. Dr. doesn't think radiation will be necessary. Can I still have breast implants? I had already scheduled my plastic surgery before my diagnosis and I am supposed to have behind the pectoral muscle silicone implants, about 2 months post lumpectomy. Please advise. Thank you.","Are Behind the Pectoral Muscle Breast Implants Ok After Lumpectomy, with or Without Radiation?",Before Procedure Only,implant
I have the BRCA2 gene and implants but need to have a double masectomy. What are my options?,29-Dec-13,,I tested positive for the BRCA2 gene. I currently have implants and I would like to have a double masectomy. Since my muscle is already stretched would I need to have expanders or use the alloderm procedure? I watched my mom and sister with the expanders and they were in so much pain.,I have the BRCA2 gene and implants but need to have a double masectomy. What are my options?,Before Procedure Only,implant
Can Inverted Nipple After Lumpectomy Be Repaired?,31-Jul-09,canada,Is it possible to to repair a nipple that has turned inward during a lumpectomy?,Can Inverted Nipple After Lumpectomy Be Repaired?,Before Procedure Only,lumpectomy
What is the increased risk with the periareolar vs. inframamory incision with concentric mastopexy and Breast Augmentation?,13-Jan-14,,I would like to have the implant put in at the areola vs and inframamory incision since I am having the concentric mastopexy. My physician suggested the inframamory incision because of reduced incidence of capsular contracture and the ability to insert the silicon 304cc implant through the areola. Is there an increased risk of CC and loss of sensitivity and nipple response? Could my nipples be to small (They are 1.5 inches in diameter) to fit the implant causing trauma or increased risks?,What is the increased risk with the periareolar vs. inframamory incision with concentric mastopexy and Breast Augmentation?,Before Procedure Only,mastectomy
After having a prophylactic mastectomy could a D cup size implant be used in a ptotic C cup breast?,21-Feb-14,"New Zealand, NZ","ptotic breast with the clavicle to nipple distance measuring 29 cm and nipple to inframammary fold 12 cm, breast base 17cm bilaterally.",After having a prophylactic mastectomy could a D cup size implant be used in a ptotic C cup breast?,Before Procedure Only,mastectomy
How Are Breast Expanders Supposed to Look While Getting Filled?,1-Jul-10,NYC,I had a bilateral mastectomy due to invasive lobular cancer in one breast and had tissue expanders at the time of the surgery. I just finished my 2nd inflation (did not get inflation during surgery b/c muscles too tight) and am wondering if it is normal after 2nd inflation for breast "bumps" to be very high up on body and not have the shape of a breast. When you get addtl inflations does the breast mound lower and start to look more like breasts rather than bumps?,How Are Breast Expanders Supposed to Look While Getting Filled?,Before Procedure Only,mastectomy
Double Mastectomy with Tissue Expanders. Left Side is Much Bigger - Normal?,17-Sep-10,CT,i had a double mastectomy on aug 12 and tissue expanders put in right away. the left side has been getting much bigger than right. I had fluid drained on Sept 8 and it was still big so we did a scan did morning and the drs were ready to put a drain back in and no fluid was found. Is that normal? I haven&#39;t had any fills yet.,Double Mastectomy with Tissue Expanders. Left Side is Much Bigger - Normal?,Before Procedure Only,mastectomy
Will I Be Able to Maintain Breast Size After Masectomy and Reconstruction?,14-Jul-10,LA,"Hello, I&#39;m 31 years old and just found out I have stage 1 breast cancer and positive for BRCA1. the recommendations now are to remove both breasts. I know my health is the most important thing but I&#39;m pretty devastated about the face of loosing me breasts. I have large breast which I was always proud of. I&#39;m 34D bra size and my question is, will it be possible with the reconstruction surgery to bring them back close to that size? I met with one plastic surgeon who said that would be a challenge.",Will I Be Able to Maintain Breast Size After Masectomy and Reconstruction?,Before Procedure Only,mastectomy
Is It Possible to Retain A Cup Breasts After Breast Reconstruction?,27-Sep-09,NJ,I will be having bilateral mastectomy surgery in the next few weeks. I am currently an A cup and am wondering about the likelihood of remaining approximately the same size after Breast implant reconstruction surgery.,Is It Possible to Retain A Cup Breasts After Breast Reconstruction?,Before Procedure Only,mastectomy
Is It Okay to Go Scuba Diving with Tissue Expanders In?,10-Feb-12,Lisa in California,Is It Okay to Go Scuba Diving with Tissue Expanders In?,Is It Okay to Go Scuba Diving with Tissue Expanders In?,After Procedure Only,tissue expander
Breast Reconstruction with Tissue Expanders: When TEs Are Implanted What is the Usual Amount of Saline Injected at That Time?,2-May-12,"Decatur, AL","I had bi mast 4/3/12 with TEs. PS filled TEs with 700 cc&#39;s each. 1 week later sutures were gaping open an eighth inch. He took off 100 cc&#39;s each breast. His nurse told me these TEs hold up to 850 cc&#39;s. Is this normal to fill TEs this much immediately at time of implantation ? I, now, have tissue necrosis down the middle of each breast and at the bottom. Is there a set amount of saline injected into TEs at the time they&#39;re implanted ?",Breast Reconstruction with Tissue Expanders: When TEs Are Implanted What is the Usual Amount of Saline Injected at That Time?,After Procedure Only,tissue expander
What is the Best Way to Minimize Divits and Rippling After an Exchange from TE's to 550cc Allergan Silicone Implants? (photo),8-Feb-13,,I had a PBM in November and did my exchange on Feb 1 to 550cc Allergan Silicone implants with flex HD support. I have a great amount of rippling on left side. PS nurse looked at me and basically said I don't know how he(PS) can fix that and it's to be expected. In other words be happy with it and don't bother us. I see him on Feb 18. I'm very discouraged and a bit axious after talking to his nurse. ANy advice would be greatly appreciated.,What is the Best Way to Minimize Divits and Rippling After an Exchange from TE's to 550cc Allergan Silicone Implants? (photo),After Procedure Only,tissue expander
2 Phase Reconstruction Post Bilateral Mastectomy - Unhappy with Size - Stage 2? (photo),19-Feb-13,South Africa,"hi there. i had a bilateral mastectomy due to er- pr- her2 +3 b cancer. ive had my tissue expanders removed they where filled up to about 510cc's and replaced with 550cc's saline very high profiles, i wanted to go bigger because my natural size was a small d. now im just just a c. i want to know if it is possible to exchange them for bigger ?? and what the steps would be to achieve this. ive got very broad shoulders.ive finished chemo but still getting herceptin",2 Phase Reconstruction Post Bilateral Mastectomy - Unhappy with Size - Stage 2? (photo),After Procedure Only,tissue expander
"How Long Should You Wear a Bandage over Your Breast Following Exchange Surgery, Tissue Expanders for Silicone Implants?",17-Feb-13,"Saint Albans, WV","I had a double mastectomy about 5 1/2 months ago with immediate reconstruction. Almost two months ago, silicone implants replaced my tissue expanders. My healing has gone very well, but I am wondering how long I should wear a bandage over my left breast that was radiated many years ago. My plastic surgeon created a deeper pocket on this side in order to allow the implant to drop lower due to the tightness of the chest wall muscle. Also, is it safe to wear underwire bras?","How Long Should You Wear a Bandage over Your Breast Following Exchange Surgery, Tissue Expanders for Silicone Implants?",After Procedure Only,tissue expander
Exercise and Saunas After Breast Tissue Expansion?,1-Mar-13,,Any risks in doing a spinning class or yoga 39 days after breast tissue expander surgery? I had delayed reconstruction. Is cardiovascular exercise ok? What about saunas and hot tubs?,Exercise and Saunas After Breast Tissue Expansion?,After Procedure Only,tissue expander
Breasts Look Flat in Late Stage Process of Tissue Expanders? (photo),20-Mar-13,Hawaii,"I had a bilateral mastectomy in June, 2012, then tissue expanders put in on Dec 26. I've had 5 fill ups, a total of 540cc so far. My new breast mounds look very fattened - not round projections as I see in other progress pictures. It's almost like I have a band across the middle of my chest that is restricting muscle expansion on both sides. I am due for one more fill up. How will the implants ever look normal if the expanders don't create round breast mounds? BTW, expanding process was painful.",Breasts Look Flat in Late Stage Process of Tissue Expanders? (photo),After Procedure Only,tissue expander
Long Term Pectoral Muscle Use After Breast Reconstruction?,14-Mar-13,,"I'm 7 weeks post tissue expander surgery and can now get back to working out. My surgeon told me I have to limit the use of my pec muscles to 5-10 lbs for life! No more pull ups or push ups because if the muscles increase in size the implants will get pulled to the sides. Is this accurate? I was very active doing yoga, racquet sports and weight training and he told me before surgery I could continue all of these things!",Long Term Pectoral Muscle Use After Breast Reconstruction?,After Procedure Only,tissue expander
Do I Have to Have Another Surgery to Remove Necrotic Skin or Will my Body Heal Itself?,13-Mar-13,,"Four weeks ago I underwent a skin sparing mastectomy with tissue expanders. Four weeks later following my surgeon filled the expanders up 300 ml, then performed one fill of 300ml . The next day the left breast had blistered. 65 percent of the breast has turned black. My MD advises that surgery is necessary to remove the necrotic skin and remove the expander. Do I have to have this surgery? Did my surgeon overfill the expander with 300cc of saline? My tram flap is scheduled for May 17.",Do I Have to Have Another Surgery to Remove Necrotic Skin or Will my Body Heal Itself?,After Procedure Only,tissue expander
Allergan Tissue Expander Malfunctions?,18-Jul-13,,"Following my bilatteral mast on Mar 27, 2013, I received allergan tissue expanders. May 5th my fill port malfunctioned causing my expander to deflate. Mon, July 15th my new expander sprung a leak. My doctor, I trust completely, feels positively horrible. I feel horrible as this is an emotional roller coaster, I was in the holding pattern waiting 8 wks to get my exchange to implants. I don't think it fair I have to keep paying deductibles, etc. for something I'm not causing. Any ideas?",Allergan Tissue Expander Malfunctions?,After Procedure Only,tissue expander
What is Happening with my Body? Fever and Sick After Breast Reconstruction?,1-Aug-13,,"On the 1st of July 2013 I had my operation and I have a tissue expander now. I`ve lived with a fever 100,5 for 2 weeks. I manage it with paracetamol but it slowly goes up again. Inside expander is 220 ml (max 300 ml). Lymph is coming out. Leucocytes are high. Doctor says it is such reaction of my body. He says breast looks good, it is not red. He thinks I dont have infection. Antibiotics didnt help. Do I need to worry? Can it be such answer from my body? Is there any risk to take the expander out?",What is Happening with my Body? Fever and Sick After Breast Reconstruction?,After Procedure Only,tissue expander
I'm 5'7 and I Weigh 180 Lbs. I Had a D Cup Before my Double Mastectomy. How Many Cc's Will I Need to Be That Size?,10-Sep-13,,I have tissue expanders in now. I'd like to be as close to my natural size as possible.,I'm 5'7 and I Weigh 180 Lbs. I Had a D Cup Before my Double Mastectomy. How Many Cc's Will I Need to Be That Size?,After Procedure Only,tissue expander
Uneven Softness on Breast Tissue Expander,14-Mar-09,"las vegas,nevada",I was diagnosed with breast cancer and had bilateral mastectomy with tissue expander reconstruction. I was filled with 350cc&#39;s. It was done about 3 weeks ago. The expanders feel kind of soft in some areas. Is this normal?,Uneven Softness on Breast Tissue Expander,After Procedure Only,tissue expander
How Long Can Tissue Expanders Remain in Safely?,"April 30, 2012",,"I am currently active duty in the Army and being treated for tuberous breast. Have completed the expansion process and just in the waiting period before implants are placed. Just found out my unit is deploying. Not sure if I will be cleared to deploy, but wanted to know how long tissue expanders can remain in safely?",How Long Can Tissue Expanders Remain in Safely?,After Procedure Only,tissue expander
Problem with Tissue Expanders - Infection or Just Fluid Build Up?,22-Jun-12,,"I had a BMX with TEs about 5 weeks ago. The left side never drained much - always less than 20 ml a day. When drains came out, the left side got really hard and slightly red on the bottom. After the first expansion, it got more red and swollen - no fever though. It's especially red on the bottom and always pinches when I bend over; almost feels like a super tight underwire. My PS put me on antibiotics 3 days ago and today my drain site reopened and started spouting out reddish/yellowish fluid.",Problem with Tissue Expanders - Infection or Just Fluid Build Up?,After Procedure Only,tissue expander
How Will Past Radiation and the Number of Cc's Injected in TE Affect the Decision for the Size of Permanent Implants?,10-Oct-12,"Saint Albans, WV","My tissue expanders are now at 450 cc's (radiated 18 yrs. ago) and 550 cc's on the non-radiated side. This is my 2nd occurrence of early breast cancer. I still have one or two ""fill-ins"" left, but I have been wondering how the difference in volume will affect the final stage of reconstruction. My plastic surgeon seems to be very pleased with my progress.",How Will Past Radiation and the Number of Cc's Injected in TE Affect the Decision for the Size of Permanent Implants?,After Procedure Only,tissue expander
"Tissue expander disparity, is this okay?",27-Sep-12,,I underwent prophylactic bilateral mastectomies on Aug 20th with immediate tissue expanders placed. Thank God there were no complications. I noticed immediately after my surgery that my right expander is fuller/more muscle spasms and sits higher up in my chest. My left expander is flatter and placed lower and slightly more lateral. I am left handed. There is more muscle overlying the high positioned right one. I have had one fill of 30cc each -asymmetry remains. Is this OK?,"Tissue expander disparity, is this okay?",After Procedure Only,tissue expander
Tissue Expanders After Mastectomy?,2-Dec-12,,"I had dcis in one breast and a bilateral mastectomy 4 weeks ago. The P.S. has put in about 100 cc of saline so far. I am having lots of pain from the expanders. It feels like it is cutting into my muscles each time I move my arms to the right or left. I have always been in good shape and just expected to feel the saline pain not so much pain from the expanders into my muscles, I can't find any info on this. Will this pain continue and are the implants going to feel the same?",Tissue Expanders After Mastectomy?,After Procedure Only,tissue expander
I Am 3 Months Post Bilateral Mastectomy and my Expanders Are Under my Arms? (photo),1-Feb-13,,"I am having the existing expanders removed & replaced on Feb 5th 2013. The more I think about this the more upset I get. My PS actually blamed me for this happening, said he told me not to lift anything heavier than a comb or brush. I was very careful, but I live alone and don't have any family support and don't like asking for help. I re-read the discharge paperwork and it said you could go back to work after 10 days. I was careful for 3 wks & then they started moving. Does this happen a lot",I Am 3 Months Post Bilateral Mastectomy and my Expanders Are Under my Arms? (photo),After Procedure Only,tissue expander
Steri Strip Removal After Tissue Expander Surgery?,5-Feb-13,,Two weeks ago I had tissue expander surgery 2 years after a bilateral mastectomy. I had 3 layers of steri strips and removed 2 layers after 8 days. How long should I leave the remaining steri strips? Should I avoid getting them wet so they will stay on longer?,Steri Strip Removal After Tissue Expander Surgery?,After Procedure Only,tissue expander
Mastectomy Scars Changed After Tissue Expander Surgery?,5-Feb-13,,"Two weeks ago I had tissue expander surgery 2 years after a bilateral mastectomy. My original scars had faded nicely but now they are red and a bit lumpy (in the area that was not cut for the recent surgery). I have 100 ccs of saline. There's no other redness in my skin, nor any swelling. Why would this happen and is it permanent ?",Mastectomy Scars Changed After Tissue Expander Surgery?,After Procedure Only,tissue expander
