SearchLocation,SearchKeyword,Url,Featured,BusinessName,PhoneNumber,streetAddress,addressLocality,addressRegion,postalCode,addressCountry,taCount,taRating,WebsiteURL,OpenHours,tripAdvisorID,Categories,PrimaryCategory,Email,Images,PriceRange,Latitude,Longitude,paymentAccepted,generalInfo,socialLinks,Good For Family,Good for Kid,yearInBusiness,Amenities
"Dallas, TX",cosmetology,https://www.yellowpages.com/richardson-tx/mip/studio-martica-472887456,No,Studio Martica,(972) 234-1464,1801 N Greenville Ave Ste 150,Richardson,TX,75081,US,,,,"{'WEDNESDAY': '1100-1900', 'MONDAY': '1100-1900', 'THURSDAY': '1100-1900', 'SUNDAY': '1300-1800', 'TUESDAY': '1100-1900', 'FRIDAY': '1100-1900', 'SATURDAY': '1100-1900'}",,Cosmetologists > Day Spas > Massage Therapists > Reflexologies > Skin Care,Cosmetologists,studiomartica@gmail.com,,,32.97327,-96.71331,"discover, amex, master card, visa","Studio Martica is a massage & spa that specializes  in therapeutic & relaxation massage.  We offer reflexology, facials,  microdermabrasion and skin & body treatments.   
Deep Tissue Massage, Sports Massage, Trigger Point Massage, Reflexology Massage, Cranial Sacral Massage, Stretching Massage.   
Studio Martica is located at Eastside Plaza at 75  & Campbell.",,,,,
"Dallas, TX",cosmetology,https://www.yellowpages.com/duncanville-tx/mip/divine-hidden-beauty-hair-weaving-inside-110-salon-duncanville-497799622,No,Divine Hidden Beauty Hair Weaving inside 110 Salon Duncanville,(469) 309-1851,700 S Cockrell Hill Rd,Duncanville,TX,75137,US,,,,"{'WEDNESDAY': '1030-1930', 'MONDAY': '1030-1930', 'THURSDAY': '1030-1930', 'SUNDAY': '', 'TUESDAY': '1030-1930', 'FRIDAY': '1030-1930', 'SATURDAY': '1030-1930'}",,Beauty Salons > Cosmetologists > Hair Braiding > Hair Stylists > Hair Weaving,Beauty Salons,,"https://i2.ypcdn.com/blob/a45ae1a8ac8de6ae93c320f2dcace67b0dc7e442_228x168_crop.jpg, https://i1.ypcdn.com/blob/e1d56098225d24787c96d2fedbaf47b422d90bd7_228x168_crop.jpg, https://i3.ypcdn.com/blob/ae42dacd819506e8db7a344b688adabb77cd945e_228x168_crop.jpg, https://i4.ypcdn.com/blob/23a29037ad6dee655ebfc7926bccb13de127d677_228x168_crop.jpg, https://i4.ypcdn.com/blob/2c0affe91d69f59d7b8b2d08e166684324593d60_228x168_crop.jpg, https://i1.ypcdn.com/blob/ebb949ad97f98610e8bf4704c325b84afc72e19d_228x168_crop.jpg, https://i4.ypcdn.com/blob/6fad6a66afcb70d589f80974de29f36ac02a6ce3_228x168_crop.jpg, https://i1.ypcdn.com/blob/3d37167677f57c3c6b5b3471156c5eb87e9f7bc2_228x168_crop.jpg",,32.645573,-96.89113,,Chante's Hair Braiding | Hair Relaxers | UpDos | Lashes | Yarn Braids | Hair Coloring,,,,25 Years,
"Dallas, TX",hairdresser,https://www.yellowpages.com/mesquite-tx/mip/pronail-3754453,No,Pronail,(972) 682-0701,1222 Town East Mall,Mesquite,TX,75150,US,,,,"{'WEDNESDAY': '1100-2000', 'MONDAY': '1100-2000', 'THURSDAY': '1100-2000', 'SUNDAY': '1200-1800', 'TUESDAY': '1100-2000', 'FRIDAY': '1100-2100', 'SATURDAY': '1100-2100'}",,Beauty Salons > Nail Salons,Beauty Salons,,,,32.80856,-96.62656,"amex, cash, check, debit, diners club, discover, master card, visa",,,,,,
"Dallas, TX",hairdresser,https://www.yellowpages.com/irving-tx/mip/jon-david-salon-462544919,No,Jon David Salon,(214) 574-5800,393 Las Colinas Blvd E,Irving,TX,75039,US,,,,"{'WEDNESDAY': '1000-1900', 'MONDAY': '0000-0000', 'THURSDAY': '1000-1900', 'SUNDAY': '0000-0000', 'TUESDAY': '1000-1900', 'FRIDAY': '1000-1900', 'SATURDAY': '0900-1600'}",,Beauty Salons,Beauty Salons,bh.jondavidsalon@gmail.com,,,32.863544,-96.93525,"amex, cash, check, debit, diners club, discover, master card, visa",,,,,14 Years,
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/jeff-comess-hair-design-3741550,No,Jeff Comess Hair Design,(972) 900-6090,4485 Trinity Mills Rd Ste 5,Dallas,TX,75287,US,,,,,,Beauty Salons,Beauty Salons,janwoods42@gmail.com,,,32.990135,-96.83214,,,,,,,
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/hair-topik-sew-in-weaves-dallas-480148209,No,Hair Topik Sew-In Weaves Dallas,(214) 527-8646,317 E Saner Ave,Dallas,TX,75216,US,,,,"{'WEDNESDAY': '0900-2100', 'MONDAY': '0900-2100', 'THURSDAY': '0900-2100', 'SUNDAY': '0000-0000', 'TUESDAY': '0900-2100', 'FRIDAY': '0900-2100', 'SATURDAY': '0900-2100'}",,Hair Weaving > Beauty Salons,Hair Weaving,,"https://i4.ypcdn.com/blob/eea775ba6319043096e667b86ab27b410af1e333_228x168_crop.jpg, https://i2.ypcdn.com/blob/74a85ff350fdf8b4b6779db7eb18a9714cc94725_228x168_crop.jpg, https://i2.ypcdn.com/blob/666c48ddafad28e81a11e381e74f63bd32d5c898_228x168_crop.jpg, https://i2.ypcdn.com/blob/91fe9cdc8a2c81b2b284d393b1f8a057962a8577_228x168_crop.jpg, https://i4.ypcdn.com/blob/008d1d4f62a79451b42e91a14b05b0a96dc42290_228x168_crop.jpg, https://i1.ypcdn.com/blob/a2284c19a56c84ad544a83c02188bf5cfdb0392d_228x168_crop.jpg, https://i1.ypcdn.com/blob/411e138e97c600ee2e3da87c450e6c168fce4aa7_228x168_crop.jpg, https://i3.ypcdn.com/blob/5e2b87f58e5ce721d7430ccd13b426679cc13d38_228x168_crop.jpg",,32.713276,-96.81977,"discover, visa, mastercard, all major credit cards, amex",Hair Topik is The Best Weave Salon in Oak Cliff Texas. Ask for Tasha when you Walk in.,,,,27 Years,
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/looking-glass-healing-459702373,No,Looking Glass Healing -,(214) 500-8456,4514 Cole Ave,Dallas,TX,75205,US,,,,,,Beauty Salons,Beauty Salons,,,,32.822044,-96.789345,,Looking Glass Healing Provides Massage therapy in Dallas and the Park cities,,,,17 Years,
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/100-dollar-braids-469947568,No,100 Dollar Braids,(214) 553-5200,8640 Skillman St,Dallas,TX,75243,US,,,http://www.100dollarbraids.net,"{'WEDNESDAY': '0900-2000', 'MONDAY': '0900-2000', 'THURSDAY': '0900-2000', 'SUNDAY': '', 'TUESDAY': '0900-2000', 'FRIDAY': '0900-2000', 'SATURDAY': ''}",,Beauty Salons,Beauty Salons,kay@100dollarbraids.net,,,32.895966,-96.72232,"diners club, cash, check, amex, debit, discover, master card, visa",,,,,,
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/the-do-cut-and-color-468384669,No,The Do Cut and Color,(214) 346-3495,6003 Berkshire Ln,Dallas,TX,75225,US,,,http://thedocutandcolor.com,"{'WEDNESDAY': '1000-1700', 'MONDAY': '0000-0000', 'THURSDAY': '1000-2000', 'SUNDAY': '0000-0000', 'TUESDAY': '1000-1700', 'FRIDAY': '1000-1700', 'SATURDAY': '0900-1700'}",,Beauty Salons > Fashion Consultants > Hair Stylists > Hair Supplies & Accessories > Personal Image Consultants,Beauty Salons,socialmedia@thedocutandcolorsocial.com,,,32.865025,-96.80824,"amex, check, mastercard, visa","It is time for a breath of fresh air and  something different is happening at The Do Cut and Color, located at Berkshire  in Preston Center. Combine a love of hairdressing, amazing hair  care products, in a relaxed and friendly atmosphere and you have got a salon  where  someone  cares about your hair.      The Do Cut and Color is the only Wella exclusive salon  in this city. The close relationship with Wella provides training for each of  the hairdresser like no other salon. The Wella, Sebastian, and Nioxin lines are  the only products used and sold at the Do Cut and Color. Not only are they the  best hair products across the board, they are the best in the world.          At the Do Cut and  Color the hairdressers are focused and trained on the latest and greatest  styles, cut and color. The customer may come in and know exactly what they want  or they may be looking for something New and DifferentÃ‚Â and these  hairdressers can make that happen.  They  take their time to guide and direct each person on what styles look best  on  them and which products work best on their hair.  And isnÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢t that  what every client wants? They bring this knowledge to the client with no rush.  The customer gets all this at a price point that just makes sense in todays  economy.   The Do Cut and Color is a place where you can feel good about  going.",,,,13 Years,
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/hairstyles-unlimited-19024088,No,Hairstyles Unlimited,(972) 241-9610,3068 Forest Ln,Dallas,TX,75234,US,,,,"{'WEDNESDAY': '1000-2000', 'MONDAY': '1000-2000', 'THURSDAY': '1000-2000', 'SUNDAY': '1000-1300', 'TUESDAY': '1000-2000', 'FRIDAY': '1000-2000', 'SATURDAY': '1000-2000'}",,Hair Stylists > Barbers > Beauty Salons,Hair Stylists,,,,32.909466,-96.87451,"visa, mastercard, discover, amex",,,,,30 Years,
"Dallas, TX",hairdresser,https://www.yellowpages.com/mesquite-tx/mip/anointed-hands-salon-2000-14178294,No,Anointed Hands Salon 2000,(214) 607-5777,3334 North Town East Blvd Ste 210F,Mesquite,TX,75150,US,,,http://www.styleseat.com/shondajohnson,"{'WEDNESDAY': '0500-1500', 'MONDAY': '0000-0000', 'THURSDAY': '1000-1900', 'SUNDAY': '0000-0000', 'TUESDAY': '1000-1900', 'FRIDAY': '0500-1800', 'SATURDAY': '0700-1500'}",,Hair Stylists,Hair Stylists,anointedhands@gmail.com,"https://i4.ypcdn.com/blob/2092799884c3ab0af56c0259aacf50ccaafb1ff5_228x168_crop.jpg, https://i4.ypcdn.com/blob/4d306145822d49e8f3bf62f907c3dc02b7a2e25a_228x168_crop.jpg",,32.80091,-96.64651,cash only,,,,,25 Years,
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/matthew-tully-hairdressing-7548145,No,Matthew Tully Hairdressing,(214) 999-1116,2815 Allen St,Dallas,TX,75204,US,,,,"{'WEDNESDAY': '1000-2000', 'MONDAY': '', 'THURSDAY': '1000-2000', 'SUNDAY': '', 'TUESDAY': '1000-2000', 'FRIDAY': '1000-2000', 'SATURDAY': '0900-1500'}",,Hair Stylists > Beauty Salons,Hair Stylists,www.matttullyhair@gmail.com,"https://i3.ypcdn.com/blob/df094f0724c1c22c728177914c3f81d5cd079a47_228x168_crop.jpg, https://i1.ypcdn.com/blob/fb1fec1699e063f3e74dde6c48e1a75cff6792b2_228x168_crop.jpg, https://i1.ypcdn.com/blob/aa2fbdb3cabd321510d35266143f7d0e384e80c3_228x168_crop.jpg, https://i2.ypcdn.com/blob/277579f74983b22b8af165bd23a9b45fa20da58a_228x168_crop.jpg, https://i2.ypcdn.com/blob/6144e6cbb8e1ee6689e339b272d8e3c69937fb8f_228x168_crop.jpg, https://i4.ypcdn.com/blob/5241cb8d99e79823118f31da42858adf804a573b_228x168_crop.jpg, https://i4.ypcdn.com/blob/a981cda238e7010af7820ab3f35d3d12f9f06e35_228x168_crop.jpg, https://i4.ypcdn.com/blob/97c6c29c5b4ecec5fd5ef358b5b311888a54f721_228x168_crop.jpg",,32.80074,-96.801315,"debit, all major credit cards, amex, cash, check, diners club, discover, master card, visa",,,,,,
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/beverly-hills-nail-spa-16969068,No,Beverly Hills Nail & Spa,(214) 953-0110,2633 Mckinney Ave Ste 199,Dallas,TX,75204,US,,,http://beverlyhillsnailspadallas.com,"{'WEDNESDAY': '1000-2000', 'MONDAY': '1000-2000', 'THURSDAY': '1000-2000', 'SUNDAY': '0900-1800', 'TUESDAY': '1000-2000', 'FRIDAY': '1000-2000', 'SATURDAY': '0900-1900'}",,Nail Salons > Beauty Salons,Nail Salons,,"https://i2.ypcdn.com/blob/d39ca43a5643ef91d4aa2a48da3e5502d8640c64_228x168_crop.jpg, https://i2.ypcdn.com/blob/61b30a0e00fdec1fffeb3e7dfe24aa91fe2ac838_228x168_crop.jpg, https://i4.ypcdn.com/blob/72ccd912cd0f645bb78614374eecdcbff8fb6f2a_228x168_crop.jpg, https://i3.ypcdn.com/blob/8347b7c3e8686a90bd1e0b0745ddfab4a5649319_228x168_crop.jpg, https://i2.ypcdn.com/blob/5bf2c3abbe0232124e3b0c2f9183c25f8df7593a_228x168_crop.jpg, https://i1.ypcdn.com/blob/8e18f080977edd9c2a3d12342c99ab71ca5450db_228x168_crop.jpg, https://i3.ypcdn.com/blob/2df2f6136e6c383a70e7ff31188df9e78d1bb139_228x168_crop.jpg, https://i2.ypcdn.com/blob/9dd1ea5aa78e4e1bb3390593d90ab044b8b19bef_228x168_crop.jpg",,32.79754,-96.80158,"mastercard, visa, discover, all major credit cards, check, debit",,,,,14 Years,
"Dallas, TX",hairdresser,https://www.yellowpages.com/mesquite-tx/mip/z-spot-hair-studio-472851822,No,Z Spot Hair Studio,(972) 288-2088,2033 Military Pkwy Ste 203b,Mesquite,TX,75149,US,,,,"{'WEDNESDAY': '0830-1900', 'MONDAY': '0830-1900', 'THURSDAY': '0830-1900', 'SUNDAY': '1300-1600', 'TUESDAY': '0830-1900', 'FRIDAY': '0830-1900', 'SATURDAY': '0700-1900'}",,Barbers > Beauty Salons > Hair Stylists,Barbers,zspothairstudio@gmail.com,"https://i1.ypcdn.com/blob/dd12780a432d70bf61a075a7068287423af93c9d_228x168_crop.jpg, https://i4.ypcdn.com/blob/f4cc4d3867bf812592d324aa11d26f3a8a689235_228x168_crop.jpg",,32.76868,-96.63024,"cash, all major credit cards",VERY CALMING,,,,25 Years,Wheelchair accessible
"Dallas, TX",hairdresser,https://www.yellowpages.com/dallas-tx/mip/cherry-fields-inside-ikandy-hair-lounge-455162272,No,Cherry Fields inside Ikandy Hair Lounge,(817) 233-2018,3102 Oak Lawn Ave Ste 118,Dallas,TX,75219,US,,,http://www.cherryfieldshair.com,"{'WEDNESDAY': '0500-1700', 'MONDAY': '0500-1700', 'THURSDAY': '0500-1700', 'SUNDAY': '', 'TUESDAY': '0500-1700', 'FRIDAY': '0500-1700', 'SATURDAY': '0700-1200'}",,Beauty Salons,Beauty Salons,cherryfields27@gmail.com,"https://i1.ypcdn.com/blob/3e759699a961a9c5de9b3a75c667ab9bc164314f_228x168_crop.jpg, https://i4.ypcdn.com/blob/464cfaf9e321f15b22de72c8698273e3e96c6ac5_228x168_crop.jpg, https://i2.ypcdn.com/blob/5fca2de2cf0fcf8c2ef4419193a52a485f1fdbf7_228x168_crop.jpg, https://i2.ypcdn.com/blob/973d512df2c9492a8b836402dd40c6f445f411ad_228x168_crop.jpg, https://i4.ypcdn.com/blob/7a9d5269fc7e9e90b3503d46bd53c005b4ab19a2_228x168_crop.jpg, https://i3.ypcdn.com/blob/668ee125edfaf5240b0b4225af9051121fb0c935_228x168_crop.jpg, https://i1.ypcdn.com/blob/f23920e1201bad24ced8d9d7b78b4ada078d4c05_228x168_crop.jpg, https://i3.ypcdn.com/blob/6bd484ccb1dccd290818942fb4719c5fae7a7885_228x168_crop.jpg",,32.8093,-96.80836,,"Dallas: IKandy Hair Lounge Located in the Salons of Dallas@ the Centrum in Uptown 3102 Oak Lawn Ave. Suite 118 Dallas, TX 75093 Plano: Plaza Park Salon 4909 W. Park Blvd. #157, Suite 35 (Corner of Park Blvd. & Preston) Plano, TX 75093",,,,35 Years,Wheelchair accessible
