model,product_name,author,text,rating,date_added
460203,2020 US Earth Day Forever Stamps,Cathy S,"Having my stamps delivered to my door is the best! I did not see an option for a roll of stamps, I would order a roll of stamps next time. Yes, I still use snail mail.",5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Joyce Tourigny,"I needed these stamps like, immediately, and these were supposed to come in 2 days and they came the very next day! I'm old and sick and can't go to the Post Office and this was perfect!",5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Libby e berman alegria rosa,Why am I reviewing stamps? They're stamps guys... get'em while they hot!,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Yolanda clark,These are stamps I have been looking for and I am so happy I found them.,5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,Trever,Have bought these stamps several times love the variety of colorful flowers will continue to reorder.,5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,V. S. Kilgore,Love the items especially the bright colors!,5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,SHAWN,Pretty stamps that stick well,5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,Diane Arnold worm,"When ordering for my business, I didn't realize that I could also get postage stamps! I love the stamps I received. It was truly a simple process and saved me time taking care of everything in one step.",5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,Charlie Couture Deanna R. Miller,Stamps are available yes!,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Careful buyer,I love that I can buy my postal stamps this way. There is always a long line a Post Office and this saves me time.,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Big Small,"No variation in design, but it was the cheapest bundle of stamps I could find. They’ll still mail, but the advertisement could be more accurately worded.",5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,B. E. Nutt,Real stamps. Lol. What else is there to review?,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Thucydides,The stamps look and adhere well to use to send mail.,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,mikki thiele,"The world has moved on, but we still use mail and it’s convenient to have your own supply of stamps.",5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Maria,"good product, fast delivery",5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,josefina tabullo Long Energy LLC - Products,very easy to buy for a low vision person.,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Susan Starr,Stamps needed when we were on vacation,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Faith M.,Nice words,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Adulting For The Win,I bought the Mix Of 20 Stamps for a good price to & Didn't have to go out in cold weather either .,5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,Rita E.,"This product was so needed and made convenient for me to order, and ship to my elderly Mom out-of-state. She loved them.",5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,Patricia Banks,"Convivence and style and that they are ""Forever Stamps"".",5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,judy,"They're prettier stamps. Even if the receiver doesn't appreciate them, I do.",5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,mary pollock K. Bender,I'm happy I was able too order this.,5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,D. Caine,Nothing to dislike.,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,C Goodall Excellent,These stamps are very pretty. Just as pictured but even prettier.,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Richard B,"Absolutely beautiful, THANKYOU so much ❣",5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Edward Mildebrandt,Nothing to complain about. They are good stamps. I would buy again.,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Linda Wade,They do what they do works good legit,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,J Manzanares,I found everything satisfactory about this product.,5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Margo H.,Great value for the money,5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Juan C Depablo,Good product.....forever stamps!,5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Antony,"Love putting these beautiful stamps on Birthday Cards, Thank You Cards and Anniversary Cards.",5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Marjorie Dorbolo,"Adhension good. Not sure about the value of money, but delivery is really quickly. I think it is a good way to buy stamps.",5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Kindle Customer,Easy and convenient instead of going to the post office!,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Sandra J.,These are fantastic! Look even better once you receive them! These are beyond adorable and support a great cause. Highly suggest !,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,L A park,"Adhesion seems really good. Not sure if they are cheaper at the post office, but it was easier to order them, then to have to go to the Post office",5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Dorothy zeigler,"This stamp design has beautiful bright colors, very cheerful.",5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Sheila Cadmus,Stamps are very pretty. Should dress up my bills nicely,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Xiomy,convenient don't have to use water to make them stick,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Alyssa,I found everything satisfactory about this product.,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Emily,These are beautiful. I choose these for personal mail. They are too nice for bill payments.,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Holli Ann,These are beautiful. I choose these for personal mail. They are too nice for bill payments.,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Roy,Love these stamps! Having them come to the house is great!,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,mary wagner,these stamps are pretty ands that's why I like them,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,V.Z. White,I needed stamps for the letters I enjoy writing to my grandmother. Everyone whom I've sent these to has agreed that they're adorable.,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Wendy,Adhesion excellent! Well worth the money.,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Shantress wise,I love these stamps good for the money,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,66novacoupe,Delivered quickly....pretty stampa,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Tomas DellaMorte,Cool stamps. Something different,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,maggie,The stamps look and adhere well to use to send mail.,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Jake,"The world has moved on, but we still use mail and it’s convenient to have your own supply of stamps.",5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Jia Jian Tin Hayley Amor,Saved me a trip to the post office or grocery store. The most thankful of this purchase is my bill collectors. Stamps came to me in great condition.,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Keep It Simple,Real stamps. Lol. What else is there to review?,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,maggie,The stamps look and adhere well to use to send mail.,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,Donna Newton,Very beautiful!,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,K. Mccargo,These stamps will come in handy for writing notes or letters or cards,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,Donna,So easy to order,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,J. Marie,This was well received as a gift and came with all different stamps. Great purchase. Had a lot of fun going through it all.,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,Donna Newton,"Absolutely beautiful, THANKYOU so much ❣",5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,Linda Fitzgerald,Great help for my card ministry,5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,Esther,Super fast shipping!!,5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,APACHECAT,"I love the product, thank God i was able 2 afford the product",5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,Cindy Busfield me,"There’s nothing to dislike about these stamps, they stick pretty well! Definitely gonna buy more once I run out",5,2022-09-13
489685,2018 U.S. Flag Forever First-Class Postage Stamps,Renee,Stamps on sale!!! What a deal! Just ordered more!,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Maria,Product arrived quickly and they are as stated by seller.,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,josefina tabullo Long Energy LLC - Products,They were great and I have added them to my wallet to use. It saved me a trip to the post office and even more so standing in line since DeJoy has cut back on Postal Service staff and hours. I may get some more for holiday mailings.,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Susan Starr,I liked the picture on these stamps. Very nice.,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Faith M.,Very beautiful!,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Adulting For The Win,"Stamps are always on hand now-because,",5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,Mercedes,Great value and quick delivery,5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,Rita E.,"They were as described, they work as expected of a self adhesive stamp",5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,Patricia Banks,They were sticky. My mail got delivered they're stamps,5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,judy,Very beautiful!,5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,mary pollock K. Bender,These stamps will come in handy for writing notes or letters or cards,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Norm H.,Saved me a trip to the post office or grocery store. The most thankful of this purchase is my bill collectors. Stamps came to me in great condition.,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Miss OCD @ 67,"Nothing was disliked or bad news. I loved the stamps and will order again, for the convenience.",5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,TamRN Diane Johnson,Love these stamps. 2nd time ordered. Great delivery and price.,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Careful buyer,"Nothing was disliked or bad news. I loved the stamps and will order again, for the convenience.",5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Big Small,Love these stamps. 2nd time ordered. Great delivery and price.,5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Margo H.,Great value for the money,5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Juan C Depablo,Good product.....forever stamps!,5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Antony,"Love putting these beautiful stamps on Birthday Cards, Thank You Cards and Anniversary Cards.",5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Marjorie Dorbolo,"Adhension good. Not sure about the value of money, but delivery is really quickly. I think it is a good way to buy stamps.",5,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Kindle Customer,Easy and convenient instead of going to the post office!,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Sandra J.,These are fantastic! Look even better once you receive them! These are beyond adorable and support a great cause. Highly suggest !,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,L A park,"Adhesion seems really good. Not sure if they are cheaper at the post office, but it was easier to order them, then to have to go to the Post office",5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Dorothy zeigler,"This stamp design has beautiful bright colors, very cheerful.",5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Sheila Cadmus,Stamps are very pretty. Should dress up my bills nicely,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Xiomy,convenient don't have to use water to make them stick,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Robert Merritt,Have bought these stamps several times love the variety of colorful flowers will continue to reorder.,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,steve damesworth Jocelyn medley,Love the items especially the bright colors!,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Alyssa,Pretty stamps that stick well,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Emily,"When ordering for my business, I didn't realize that I could also get postage stamps! I love the stamps I received. It was truly a simple process and saved me time taking care of everything in one step.",5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Holli Ann,These are beautiful. I choose these for personal mail. They are too nice for bill payments.,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,C Goodall Excellent,These stamps are very pretty. Just as pictured but even prettier.,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Richard B,"Absolutely beautiful, THANKYOU so much ❣",5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Edward Mildebrandt,Nothing to complain about. They are good stamps. I would buy again.,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Linda Wade,They do what they do works good legit,5,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,J Manzanares,I found everything satisfactory about this product.,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,Rosie,everything. Smile.,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,marje,i like the picture,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,KHW,There no postoffice or substation near me so I needed to rely on website for quick shipping to send my holiday cards to friends.,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,Larry M Muehl,Good go Xmas cards,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,andy,"Functional stamps at a cheaper price. The stamps seem small but at the lowest price, it doesn't matter to the envelope how it gets there.",5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Sharen,How could anyone not love these stamps?!,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Barbara Moriarta,Adhesion excellent! Well worth the money.,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Cathy S,I love these stamps good for the money,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Joyce Tourigny,Delivered quickly....pretty stampa,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Libby e berman alegria rosa,Cool stamps. Something different,5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,Sue B. Virginia D,"Love this style since I’m an avid letter writer and more than any other time, our world needs love.",5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,Debbie Scott,easy-peasy way of buying postage stamps,5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,Anne Elisco,GOT THEM FAST AND WILL BUY AGAIN,5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,Sally Smith,An easy way to get stamps and stationery supplies when leaving home isn't an option.,5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,Ellie Green,I got these stamps to use for baby shower thank you card’s they are super cute but again they are stamps so nothing special.,5,2022-09-13
565166,U.S. 2019 Cactus Forever Stamps,Surfer Joe,"They were as described, they work as expected of a self adhesive stamp",5,2022-09-13
565166,U.S. 2019 Cactus Forever Stamps,Vic,They were sticky. My mail got delivered they're stamps,5,2022-09-13
565166,U.S. 2019 Cactus Forever Stamps,Josephine A Bates,Very beautiful!,5,2022-09-13
565166,U.S. 2019 Cactus Forever Stamps,KL08,These stamps will come in handy for writing notes or letters or cards,5,2022-09-13
565166,U.S. 2019 Cactus Forever Stamps,t persons,They were just what I was looking for. I will be reordering again and again!,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,K. Mccargo,Nothing to complain about. They are good stamps. I would buy again.,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,Donna,They do what they do works good legit,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,J. Marie,I found everything satisfactory about this product.,5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,Donna Newton,"Absolutely beautiful, THANKYOU so much ❣",5,2022-09-13
578204,U.S. Love 2022 Forever Stamps Wedding,K. Mccargo,Nothing to complain about. They are good stamps. I would buy again.,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Jake,"The world has moved on, but we still use mail and it’s convenient to have your own supply of stamps.",5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Jia Jian Tin Hayley Amor,Saved me a trip to the post office or grocery store. The most thankful of this purchase is my bill collectors. Stamps came to me in great condition.,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Miss OCD @ 67,Love these stamps. 2nd time ordered. Great delivery and price.,4,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,TamRN Diane Johnson,How do you review a stamp.LOL,4,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,colleen,Needed them for every day,4,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,D. Caine,They were just what I was looking for. I will be reordering again and again!,5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,Mercedes,A great way to buy stamps during the pandemic.,5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,Rita E.,"They were as described, they work as expected of a self adhesive stamp",5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,Patricia Banks,They were sticky. My mail got delivered they're stamps,5,2022-09-13
480813,U.S. 2020 Fruits & Vegetables Forever Stamps,judy,Very beautiful!,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,B. E. Nutt,How do you review a stamp.LOL,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Thucydides,Needed them for every day,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,mikki thiele,They were as advertised! Great,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Norm H.,So conveniently delivered to my mailbox avoiding having to come into contact with people during these sad dangerous covit-19 times,5,2022-09-13
202110,2020 US Christmas Holiday Delights Forever Postage Stamps,Miss OCD @ 67,I enjoyed getting them in the handy little zip lock bag.,5,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Holli Ann,These stamps are very pretty. Just as pictured but even prettier.,4,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Roy,"Absolutely beautiful, THANKYOU so much ❣",4,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,mary wagner,Nothing to complain about. They are good stamps. I would buy again.,4,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,Robert Merritt,They do what they do works good legit,4,2022-09-13
683504,US 2021 Otters in Snow Forever Stamps,steve damesworth Jocelyn medley,I found everything satisfactory about this product.,4,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Kim D,Beautiful stamps. Happy with them,4,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Hippie,I do a lot of letter writing at this time. Price of postage is good.,4,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Kim Husted,Beautiful for a gift !!,4,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,MAD,These beat a trip to that Post Office line any day!!!,4,2022-09-13
632507,2020 US 'Winter Scenes' Forever Postage Stamps,Dianne L.,Like them and for the valueto,4,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Alyssa,These are beautiful. I choose these for personal mail. They are too nice for bill payments.,4,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Emily,Love these stamps! Having them come to the house is great!,4,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,redlin51,these stamps are pretty ands that's why I like them,4,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,LexRex21,Have bought these stamps several times love the variety of colorful flowers will continue to reorder.,4,2022-09-13
565124,US 2021 Love Forever Stamps Wedding,Curly Productions,Love the items especially the bright colors!,4,2022-09-13
572017,2017 U.S Flag Forever First-Class Rate Stamps,Sally Smith,Nothing to dislike.,5,2022-09-13
572017,2017 U.S Flag Forever First-Class Rate Stamps,Ellie Green,Great value and quick delivery,5,2022-09-13
572017,2017 U.S Flag Forever First-Class Rate Stamps,Alberta Graham,"They were as described, they work as expected of a self adhesive stamp",5,2022-09-13
572017,2017 U.S Flag Forever First-Class Rate Stamps,Sally Smith,"You can use them as a very expensive sticker set, or put them up on a dart board if you really hate flowers. You can even them on envelopes to mail things.",5,2022-09-13
572017,2017 U.S Flag Forever First-Class Rate Stamps,Ellie Green,came fast. easy to stick. and beautiful flowers. would buy again because i like my postage to be on theme. these were for baby shower thank you cards,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Yolanda clark,How could anyone not love these stamps?!,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,V.Z. White,Great way to buy stamps,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Wendy,Love the stamps! Quick delivery and careful packaging. Thank you!,5,2022-09-13
460203,2020 US Earth Day Forever Stamps,Shantress wise,"Adorable stamps, arrived in great condition!",5,2022-09-13
460203,2020 US Earth Day Forever Stamps,66novacoupe,Very attractive and colorful,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Maria,Product arrived quickly and they are as stated by seller.,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,josefina tabullo Long Energy LLC - Products,They were great and I have added them to my wallet to use. It saved me a trip to the post office and even more so standing in line since DeJoy has cut back on Postal Service staff and hours. I may get some more for holiday mailings.,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Susan Starr,I liked the picture on these stamps. Very nice.,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Faith M.,Very beautiful!,5,2022-09-13
760504,2019 USA Star Ribbon Forever Stamps,Adulting For The Win,"Stamps are always on hand now-because,",5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Roy,Love these stamps! Having them come to the house is great!,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,mary wagner,these stamps are pretty ands that's why I like them,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Robert Merritt,Have bought these stamps several times love the variety of colorful flowers will continue to reorder.,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,steve damesworth Jocelyn medley,Love the items especially the bright colors!,5,2022-09-13
577704,US 2021 Happy Birthday Stamps Forever,Alyssa,Pretty stamps that stick well,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,Jessica,Can't get stamps because of where you live? Worked out perfectly!,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,Shoppingberk,Exactly what I needed,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,J. Myers,The scenery,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,Josefa,Worked great,5,2022-09-13
575206,U.S. 2018 Frozen Treats Forever Stamps,Inquiring Mind,The stamps arrived super fast and in perfect condition.,5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,Mary Ellen Nash,"Love this style since I’m an avid letter writer and more than any other time, our world needs love.",5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,John Lema,Did as advertised and was well packaged.,5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,Stacy,"Decent Price, Pretty Stamps",5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,MichelleB,Delivery was promised efficient. STAMPS NICE,5,2022-09-13
740400,2022 U.S Flag Forever Stamps Roll,Lover of life briana,Got a better price and quick delivery,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Pollyanna,They were as advertised! Great,4,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Keep It Simple,Real stamps. Lol. What else is there to review?,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,maggie,The stamps look and adhere well to use to send mail.,5,2022-09-13
480706,2019 Holiday Wreaths Forever US First Class Postage Stamps,Jake,"The world has moved on, but we still use mail and it’s convenient to have your own supply of stamps.",5,2022-09-13
