Product_Name,Brand_Name,Total_Ratings,Avg_Rating_Stars,Reviewer_Name,Review_star,Review_Title,Review_date,Review_details,Review_Text,Helpful_for,TimeStamp
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Julija Alusaja,5.0 out of 5 stars,Great product for great price 😊,Reviewed in the United Kingdom on 15 September 2020,Verified Purchase,"Guys, this is a really cool hair clipper! If you looking for one, just don’t think and buy it! It works so quiet, my dog barely understood want I was doing 😂 blades are very sharp, so you can trim hair very quick. It comes together with nail clipper and grooming scissors. I am really happy with my purchase. And would recommend to every dog owner 👌🏻",66 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Valery ,5.0 out of 5 stars,Have all you need for a home use,Reviewed in the United Kingdom on 13 December 2020,Verified Purchase,"I’ve never tried to cut any dog myself. But decided to have a go. Took me awhile to choose the right set for a decent price.This clippers set have all you need actually and quite easy to use. It have a ceramic blade, adjustable cutting length and speed levels, which is very useful for somebody, who never cut them dogs at home. The set have stuff for nails cutting too, which was very handy. It’s safe and comfortable for the pet. Actually it’s less stress for dog when you can do it at home by yourself. A dog feels more relaxed and it’s easier for both sides.The only small minus for me of this set was that the blade quite big, not very comfortable to use on a small dog. But it’s a minus more for me, rather than a dog, because there wasn’t any discomfort for a dog 🙂",51 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Živile G,5.0 out of 5 stars,Best for me and my pets!,Reviewed in the United Kingdom on 18 July 2020,Verified Purchase,"I am very happy to have purchased this hair clipper for my pets.  I was amazed at how quietly it works.  And my dogs liked it.  Now I can easily trim them.  My previous haircut was very loud and vibrating, so I had a hard time cutting them because my dogs were afraid of it.  The kit has everything you need to trim your pet.  I am very happy to have purchased this set of hair clippers and recommend it.  Thanks to the seller.",55 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Svetlana,5.0 out of 5 stars,Perfect,Reviewed in the United Kingdom on 8 September 2020,Verified Purchase,"I ordered pet grooming clippers. Arrived so quick. Box  well represented, has everything what do you need for your pet.Was surprised me when I received this grooming set. The quality is just excellent. Very Easy to use. My dog love it. You don't even hear a noise when clipper working. The Blades and scissors very sharp. Is so easy to work with.  The set also includes the usb cable for charging. I am really pleased with the purchase! Excellent value for money, I would definately recommend.",52 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Darius,5.0 out of 5 stars,Dogs like this,Reviewed in the United Kingdom on 4 October 2020,Verified Purchase,"This product is powerful enough to groom and trim the fur of my dog which gives a professional finish.My dog has a double coat and this heavy duty kit does the job.In addition, the kit has all the accessories needed to give the perfect trim.It also saves time and my dog enjoyed the trim.Highly recommended.",36 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Mrs Cooper,5.0 out of 5 stars,Great value!,Reviewed in the United Kingdom on 28 January 2021,Verified Purchase,Very happy with these! Bought them over lockdown to have a go at clipping my Shihpoo. Charged them first and the charge lasted the whole clip (and could probably have done another!) Easy to use. Had to stop a few times to unclog the blade of fur (normal). Really couldn’t ask for more. With the scissors toe clippers etc all the other bits and pieces I can’t believe it was only £24! Recommended for first timers,30 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Dalia,5.0 out of 5 stars,Good quality and value for the price,Reviewed in the United Kingdom on 15 July 2020,Verified Purchase,"Very easy to use. It is not too loud as other haircut machines. Long lasting batterie. It comes with two different shape of scissors for perfect finish. And also clutch scissors which is also easy to use.I can strongly recommend this grooming kit. Valued for a price, and it will save your money definitely!",33 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Mr. P. Sbrana-browning,5.0 out of 5 stars,Easy to use with a bit of care,Reviewed in the United Kingdom on 31 January 2021,Verified Purchase,"This the first time, I have had to try and our little one, always previously relied on a professional groomer.  However I am feeling reasonably confident with this trimmer.  It was quiet and did not spook our Caro.  I will feel more confident in future, as these worked great, didn't jam up.  Started with the 9mm trimmer and did the important bits.  Highly recommend.  Think he is more comfortable.  Lockdown affects dogs as well as humans.",22 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Nes,5.0 out of 5 stars,Brilliant,Reviewed in the United Kingdom on 26 February 2021,Verified Purchase,"I was a bit hesitant because of the price. I have 3 large hairy dogs and this product, to my amazement, did my 3 dogs. Easy to charge and use, much quiter than my cable powered clippers. These clippers came at the price of just ONE blade for my electric clippers! Nice quality, different speeds and quiet in comparison. I would thoroughly recommend these to anyone in doubt.",21 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Dorota J.,5.0 out of 5 stars,"A very professional machine, easy to use and the effects are excellent",Reviewed in the United Kingdom on 6 November 2020,Verified Purchase,"Pet Lab - I recommend a fantastic and inexpensive dog clipper.  Easy to use and reliable, quiet and does not irritate the pet. Now I do not have to go to the dog hairdresser, because I can do it myself and my dog ​​is happy because no stranger forces him to obey. I also shave my friend's rabbit and it was very easy with a razor  Pet Lab because it has a different length adjustment.  This is a good buy, I recommend to pet lovers.",26 people found this helpful,16-08-2022 04:32:36
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,INARA,5.0 out of 5 stars,"Comfortable,quite,perfect cut!",Reviewed in the United Kingdom on 1 January 2021,Verified Purchase,"excellent clipper for dogs, I have a Yorkshire terrier, and he needs a lot of care, this clipper is like a lifebuoy for me, very good attachments, does not make noise, cuts perfectly, very good scissors, plus for clipping dogs' claws are also very good,  beautiful design, highly recommend, great price, and another bonus for me, very good haircut for my husband, so out of 5 stars 5.",22 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Tom André,1.0 out of 5 stars,Not great at all...,Reviewed in the United Kingdom on 14 April 2021,Verified Purchase,"I normally use my Wahl wired clippers that I use on my head to occasionally groom my dog, a poodle. This works fine but them being wired can be a little frustrating at times and with the addition of other things in this kit I thought I'd give it a shot. I was also interested to see how much better ceramic and titanium blades would be than just titanium.I charged up the device etc and set up my grooming table. After a shapoo and blow dry with a comb I was ready to start cutting the hair. I was disappointed pretty much from the start and my dog wasn't impressed either.Firstly due to it being battery powered as opposed to mains you can audiably hear the speed of the trimmers slow down when a little more than a few strands of hair are in it grasps. I think this is where the main problems stem from.The 'ceramic' looks and feels like plastic and is not as good as my pure metal Wahl pair.Hair snags between the plastic clip-on length guided and the blades causing pulled hair for the dog which isn't nice at all.The grooves in the blades are tiny meaning it barely cuts any hair. This makes the grooming process incredibly laborious and slow with you having to clean clumps of hair out from the plastic every pass or so.The scissors are a bit of a joke and pretty much just squish hair between them unless you force your fingers to apply pressure to the blades. The tightening mechanism also doesn't work on them, perhaps that's just for show.I didn't use the nail clippers as they looked like a toy in comparison to my usual pair.I was hoping this set wouldn't be another bit of 'cheap rubbish from China' but of course it was. I'll be returning them soon as they are so unfit for purpose it's a joke.",15 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Amazon Customer,1.0 out of 5 stars,don't work...faulty,Reviewed in the United Kingdom on 22 December 2020,Verified Purchase,"Now passed their date to be able to return.I have used these 3 times...1st time, the battery ran out really quickly....in about 4 minutes. maybe id not charged them properly?2nd time, battery ran out again within 4 minutes....surely i charged them properly this time?3rd time, wouldn't even turn on despite charging all night. had to plug them in to charge while using.Just come to put them on charge...not even charging or turning on now.I don't know whether i was just sent faulty noes or whether they are all like this.very disappointed.",20 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,angelika,4.0 out of 5 stars,Professional and easy to use,Reviewed in the United Kingdom on 5 October 2020,Verified Purchase,Got this clippers for my dog and It didn’t disappoint Me. It is easy to use it. The main thing it is cordless which allow me to use it outside As well as  inside. It is all in one no need to look  for extra tools as it has all. Especially the nail clippers. I love the adjustable speed level and low noise. Just exactly what it says in the box. Very very happy not only me but my dog as well.,20 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Mihail,5.0 out of 5 stars,Great set for affordable price.,Reviewed in the United Kingdom on 7 October 2020,Verified Purchase,"This set has a good combination of items for it's price.Scissors and clipper are very sharp and easy to trim. Also easy to use and clean.Battery and speed levels displayed on the clipper which is very handy.In this horrible time when we need to self isolate, it is great to use even for myself. If this clipper can trim dog's hairs it is easily trim human's hairs.5 stars definitely.",20 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Pjoter,5.0 out of 5 stars,Best seller 💪💪,Reviewed in the United Kingdom on 2 May 2021,Verified Purchase,"High quality dogs clippers grooming set. Everything what I needed in this kit. Works as described, no complains. I am feeling like a professional with this kit. Easy to use, life saver. Very well packed. Thanks.Perfect not only for our pet but also suitable for my hubby( we already tried on both). Low noise level, I can use any time. I love that it is Cordless, I can use anywhere in my home, even outside. Rechargeable, for me it means zero waste batteries. I don't need to buy loads of batteries and change it after every use. Good for environment.I'm really satisfied about this purchase. It makes my life easier and my pet life of course.: )) my suggestion is if you looking dogs clippers grooming set give a try for this one.",12 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Virginija Docenko,5.0 out of 5 stars,Good product!!!,Reviewed in the United Kingdom on 9 December 2020,Verified Purchase," Thanks for the product.  I'm happy, I tried to cut the cat's nails very quickly.Hair clipper teak boyfriend, cut perfectly.  Scissors for daughter!Fast delivery, great seller. I recommend 100%!!!  Thanks",13 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,terry,5.0 out of 5 stars,easy to use,Reviewed in the United Kingdom on 5 November 2020,Verified Purchase,"Very pleased with the product,I used to use a corded trimmer which was very awkward,this one is light weighteasy to use,would buy again.",15 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Malgorzata Mugglestone,4.0 out of 5 stars,Good product,Reviewed in the United Kingdom on 3 November 2020,Verified Purchase,Very good product but the clippers wouldn't be very good to use on dogs with thicker coats as they're not strong enough to get through the coat but they'd be fine to use to clip the fur between their pads or dogs with short fine hair. Very light charge battery  very quickly  happy to have a choice battery or plug in. Shows percent of battery  as well which is very helpful. Sharp scissors.,13 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,The Dowager,1.0 out of 5 stars,No use for shaggy dogs,Reviewed in the United Kingdom on 9 November 2020,Verified Purchase,"The dog clippers have made virtually no impact on my shaggy GSD. I could get more hair off her by running my fingers through her coat. Further, the hair scissors it came with are too blunt to cut her hair short ready to use the clippers. I ended up sawing her hair with them then gave up. I'm sitting looking at this set of grooming tools and wondering what on earth to do with it? It certainly won't be grooming my dog. Maybe it will work on dogs with short hair? Feeling disappointed.",10 people found this helpful,16-08-2022 04:32:48
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Mozaika,5.0 out of 5 stars,Mozaika,Reviewed in the United Kingdom on 1 November 2020,Verified Purchase,"This grooming set is pretty amazing. The clippers are great to work, extremely sharp titanium + ceramic blades and noise level is very low. It's safety trim sweethearts from different angles. Runs smoothly and silently with minimal vibration around pet's body.Set comes with hair cutting scissors, thinning scissors, nail clipper ant nail file, steel comb. Easy to use and clean.It was second grooming kit for my Yorkie. I definitely recommend this set.",13 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Oliwia,5.0 out of 5 stars,Amazing! 🤩,Reviewed in the United Kingdom on 29 November 2020,Verified Purchase,"Something I didn’t realise I need, but now I won’t be able to live without it. It’s so easy to use and my dog loves it. All items included in the product are very useful. I definitely need more practice, but thanks to this product, I’ll save some money by not going to the groomer. This is a great product for a great value, I’d recommend!",12 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Monikuciuxxx,5.0 out of 5 stars,Smooth cut,Reviewed in the United Kingdom on 14 January 2021,Verified Purchase,"It comes with 4 plastic grade gards. Also comes with a comb and scissors in a neat bag for easy storage. The cut is smooth with no catching or pulling on the hair. Afterwards cleaning the clippers is fairly simple. There are speed you can select, easy to operate and very acceptable noise level.",9 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,CelticMorning,4.0 out of 5 stars,"Good product,but",Reviewed in the United Kingdom on 24 September 2020,Verified Purchase,"I am very happy with this clippers, really good value for money but one of the plastic comb attachments snapped after very little use, partly my own carelessness. Where do I get replacements? Anyone help me please?",12 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Ewelina,5.0 out of 5 stars,Amazing,Reviewed in the United Kingdom on 28 October 2020,Verified Purchase,"The hair clipper is really amazing, it cuts precisely even in difficult places, does not pull out hair, pets do not stress as much as before, it is quiet and I can admit that it is the best purchase .",11 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Liam Case,5.0 out of 5 stars,Very quiet easy to use.,Reviewed in the United Kingdom on 22 April 2021,Verified Purchase,I have been after a pair off cutters for ym long haired pooch for a while.She's gets scared of the noise and vibration.These are drastically better than previous pairs I have had. She's a little better now.Do highly recommend these clippers,8 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Vicky,1.0 out of 5 stars,Very let down by product,Reviewed in the United Kingdom on 16 January 2021,Verified Purchase, So the clippers don't work charged the battery which didn't charge so wasn't the best of buys I will be sending it back and wanting a refund,9 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,SHEL xXx,5.0 out of 5 stars,Excellent clippers.,Reviewed in the United Kingdom on 13 September 2020,Verified Purchase,"So I wrote a review about these clippers and because I’d ordered two different sets I got the reviews mixed up!!! These however are brilliant I have a shi-pooh and sausage cross shitzuh so the fur is thick and grows pretty quick, these clippers are amazing if I could give more than 5 stars I would.The battery life is good there’s nothing bad to say about these apart from there a blessing and save me £70 on groomers. BUZZING!!!!!",7 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,vita,5.0 out of 5 stars,Dog grooming kit,Reviewed in the United Kingdom on 8 September 2020,Verified Purchase,Brought it for my parents dog.they are so happy with it.smoothly and easily  trim dog’s hair.low noises machine.which is very important for my parents dog.as he was scared of previous maschine which was loud.im happy with the purchase and  would recommend this product,11 people found this helpful,16-08-2022 04:32:50
PetLab Dog Clippers Professional Dog Grooming for Small Medium Large Breeds Low Noise Rechargeable Cordless Dog Grooming Clippers Electric Pet Clippers for Dogs Cats Pets Hair Trimmer,PetLab,"2,777 global ratings",4.3 out of 5,Laura T,5.0 out of 5 stars,Fits the description,Reviewed in the United Kingdom on 28 October 2020,Verified Purchase,"Unlike most packs I’ve purchased for home grooming this one included it all - scissors, nail files etc which made it that one bit easier to use. I loved how the product itself isn’t too loud as our dog usually gets scared. It really met my needs this time and I can happily say I’d recommend this product to another person!",10 people found this helpful,16-08-2022 04:32:50
