Name,Address,Phone,Email,Website,Url
CPDM - Centre for Product Design and Manufacturing,BangaloreIndia,+91 80 23 60 19 75,office(at)cpdm.iisc.ernet.in,http://www.iisc.ernet.in/,https://www.modemonline.com/design/design-connections/design-schools
D-Crit School of Visual Arts (SVA),136 West 21st Street - NY 10011 New YorkUnited States,+1 (212) 592 2228,dcrit@sva.edu,http://dcrit.sva.edu,https://www.modemonline.com/design/design-connections/design-schools
d.school - Institute of Design at Stanford,416 Escondido Mall - 94305-3086 StanfordUnited States,+1 (650) 736 10 25,info@dschool.stanford.edu,http://dschool.stanford.edu/,https://www.modemonline.com/design/design-connections/design-schools
Delft School of Design,Landbergstraat 15 - 2628 CE DelftThe Netherlands,+31 (0) 15 278 98 07,Dsd-bk@tudelft.nl,http://www.delftschoolofdesign.eu/,https://www.modemonline.com/design/design-connections/design-schools
Design Academy Eindhoven,"Emmasingel 14, - 5611 AZ EindhovenThe Netherlands",+31(0)40 239 39 39,info@designacademy.nl,http://www.designacademy.nl,https://www.modemonline.com/design/design-connections/design-schools
Design School Kolding,Ågade 10 - DK-6000 KoldingDenmark,+45 76 30 11 00,dk@designskolenkolding.dk,https://www.designskolenkolding.dk/en,https://www.modemonline.com/design/design-connections/design-schools
Detmold School of Architecture and Interior Design,Emilienstraße 45 - D-32756 Germany,+49 (0)5231 769-0,,http://www.hs-owl.de,https://www.modemonline.com/design/design-connections/design-schools
Dipartimento di Design - Indaco,via Durando 38/A - 20158 MilanItaly,+39 02 239 958 37,design@polimi.it,http://www.dipartimentodesign.polimi.it/,https://www.modemonline.com/design/design-connections/design-schools
Doing Institute of Fashion Design,Freilager-Platz 1 - CH - 4023 BaselSwitzerland,+41 61 228 40 99,,,https://www.modemonline.com/design/design-connections/design-schools
Domus Academy,via C. Darwin 20 - 20143  MilanItaly,+39 02 42 41 40 01,info@domusacademy.it,http://www.domusacademy.com,https://www.modemonline.com/design/design-connections/design-schools
DuocUC,SantiagoChile,800 215001,,www.duoc.cl,https://www.modemonline.com/design/design-connections/design-schools
ECAL - Ecole Cantonale d'Art de Lausanne,"5, avenue du Temple - 1020 LausanneSwitzerland",+41 (0) 21 316 99 33,ecal@ecal.ch,http://www.ecal.ch/,https://www.modemonline.com/design/design-connections/design-schools
Ecole Bleue,9-11 rue de la Petite Pierre - 75011  ParisFrance,+33(0)1 45 89 31 32,,http://www.ecole-bleue.com/,https://www.modemonline.com/design/design-connections/design-schools
École Boulle (ESAA),21 rue Pierre Bourdan  - 75012  ParisFrance,+33 (0)1 44 67 69 67,,http://www.ecole-boulle.org/,https://www.modemonline.com/design/design-connections/design-schools
École Camondo,266 blvd Raspail  - 75014 ParisFrance,+33 (0)1 43 35 44 28,,http://www.lesartsdecoratifs.fr/francais/ecole-camondo/l-ecole/,https://www.modemonline.com/design/design-connections/design-schools
École D'Architecture Paris Malaquais,14 rue Bonaparte - 75272 ParisFrance,+33 (0)1 55 04 56 50,info@paris-malaquais.archi.fr,http://www.paris-malaquais.archi.fr,https://www.modemonline.com/design/design-connections/design-schools
École De Design Nantes Atlantique,Atlanpôle La Chantrerie - rue Christian Pauc - 44306 NantesFrance,(0)2 51 13 50 70,,http://en.lecolededesign.com,https://www.modemonline.com/design/design-connections/design-schools
École Estienne,18 boulevard Auguste-Blanqui  - 75013  ParisFrance,+33 (0)1 55 43 47 47,ecole@ecole-estienne.fr,,https://www.modemonline.com/design/design-connections/design-schools
École Nationale Sup. Des Beaux-Arts,14 rue Bonaparte  - 75006 ParisFrance,+33 (0)1 47 03 50 00,info@ensba.fr,http://www.beauxartsparis.com/fr/,https://www.modemonline.com/design/design-connections/design-schools
Ecole Nationale Supérieure d'Architecture de Paris La Villette (ENSAPLV),"144, avenue de Flandre  - 75019 ParisFrance",+33 (0)1 44 65 23 00,Guy.AMSELLEM@paris-lavillette.archi.fr,http://www.paris-lavillette.archi.fr,https://www.modemonline.com/design/design-connections/design-schools
Ecole Nationale Supérieure d'Architecture de Versailles (énsa-v),"5, avenue de Sceaux BP 674 - 78006 VersaillesFrance",+31 (0)1 39 07 40 00,ensav@versailles.archi.fr,,https://www.modemonline.com/design/design-connections/design-schools
Ecole Nationale Supérieure d'Architecture Paris Belleville,60 Boulevard de la Villette - 75019 ParisFrance,+33 (0)1 53 38 50 00,ensa-pb@paris-belleville.archi.fr,http://www.paris-belleville.archi.fr,https://www.modemonline.com/design/design-connections/design-schools
Ecole Nationale Supérieure de Création Industrielle (ENSCI),48 rue St Sabin  - 75011   ParisFrance,+ 31 (0)1 49 23 12 12,,http://www.ensci.com,https://www.modemonline.com/design/design-connections/design-schools
Ecole Nationale Supérieure des Arts Décoratifs,"31, rue d'Ulm - 75240  ParisFrance",+33 (0)1 42 34 97 00,,,https://www.modemonline.com/design/design-connections/design-schools
École nationale supérieure des arts visuels de La Cambre,21 Abbaye de La Cambre - 1000  BrusselsBelgium,+32 2 626 17 80,lacambre@lacambre.be,www.lacambre.be,https://www.modemonline.com/design/design-connections/design-schools
École Pivaut,26 rue Henri Cochard - 44000 NantesFrance,+33 (0)2 40 29 15 92,,http://www.ecole-pivaut.fr,https://www.modemonline.com/design/design-connections/design-schools
Ecole Spéciale d’Architecture,254 boulevard Raspail - 75014  ParisFrance,+33 (0)1 40 47 40 47,,http://www.esa-paris.fr/,https://www.modemonline.com/design/design-connections/design-schools
Ecole Supérieure d'Art et de Design de Reims,12 rue Libergier - 51100  ReimsFrance,+33 (0)3 26 89 42 70,contact@esad-reims.fr,http://www.esad-reims.fr/,https://www.modemonline.com/design/design-connections/design-schools
Ecole Supérieure d'Art et de Design de Saint Etienne,"3, rue Javelin Pagnon - 42048 Saint-EtienneFrance",,info@esadse.fr,http://www.esadse.fr/,https://www.modemonline.com/design/design-connections/design-schools
Ecole Supérieure des Arts Décoratifs de Strasbourg,"1, rue de l’Académie - 67082 StrasbourgFrance",+33 (0)3 69 06 37 77,esad@esad-stg.org,http://www.esad-stg.org,https://www.modemonline.com/design/design-connections/design-schools
Ecole supérieure des Arts saint-Luc Brussels,"30, place Morichar -  1060 BrusselsBelgium",+32 2 533 08 80,,http://www.stluc-bruxelles-esa.be/,https://www.modemonline.com/design/design-connections/design-schools
Ecoles de Condé,7-9 rue Cambronne  - 75015 ParisFrance,+33 01 53 86 00 22,,http://www.ecoles-conde.com,https://www.modemonline.com/design/design-connections/design-schools
EINA Escola de Disseny i Art,"Passeig de Santa Eulàlia, 25 - 08017 BarcelonaSpain",+34 93 203 09 23,info@eina.edu,http://www.eina.edu/,https://www.modemonline.com/design/design-connections/design-schools
ELISAVA,"La Rambla, 30-32 - 08002 BarcelonaSpain",+34 93 317 47 15,elisava@elisava.net,http://www.elisava.net/,https://www.modemonline.com/design/design-connections/design-schools
Emily Carr Institute of Art + Design,1399 Johnston Street Granville Island - V6H 3R9 VancouverCanada,+1 604 844 38 00,,http://www.ecuad.ca/,https://www.modemonline.com/design/design-connections/design-schools
ENS Cachan,61 ave du Président Wilson - 94235 CachanFrance,+33 (0)1 47 40 20 00,,http://www.ens-cachan.fr,https://www.modemonline.com/design/design-connections/design-schools
ESAA/Ecole Sup. D’arts Appliques/Duperre,11 rue Dupetit Thouars -  75003 ParisFrance,+33 (0)1 42 78 59 09,,http://duperre.org/fr/articles/mention,https://www.modemonline.com/design/design-connections/design-schools
ESAD de Reims,12 rue Libergier  - 51100 ReimsFrance,+33 (0)3 26 89 42 70,contact@esad-reims.fr,http://esad-reims.fr/fr/,https://www.modemonline.com/design/design-connections/design-schools
ESADMM - Ecole supérieure d'art et de design,"Domaine universitaire de Luminy - 184, avenue de Luminy - 13288 MarseilleFrance",+33 04 91 82 83 10,contact@esadmm.fr,http://www.esadmm.fr/,https://www.modemonline.com/design/design-connections/design-schools
ESAG Penninghen,31 rue du Dragon - 75006 ParisFrance,+33 (0)1 42 22 55 07,esag@penninghen.fr,http://www.penninghen.fr/,https://www.modemonline.com/design/design-connections/design-schools
Escola d'Art i Superior de Disseny de Valencia,C/ Pintor Domingo 20 - 46001 ValenciaSpain,+34 963 156 700,,http://www.easdvalencia.com/easd2009/index.html,https://www.modemonline.com/design/design-connections/design-schools
Escola Superior de Artes e Design,Av. Calouste Gulbenkian  4460-268 Senhora da Hora   - MatosinhosPortugal,+351 229 578 750,,http://www.esad.pt/,https://www.modemonline.com/design/design-connections/design-schools
Escola Superior de Desenho Industria ESDI,R. Evaristo da Veiga 95 - 20031-040  Rio de JaneiroBrazil,+55 21 2332-6910,,tp://www.esdi.uerj.br,https://www.modemonline.com/design/design-connections/design-schools
ETH Zurich,Rämistrasse 101 - 8092 ZürichSwitzerland,+41 44 632 11 11,,https://www.ethz.ch/en.html,https://www.modemonline.com/design/design-connections/design-schools
Fh Joanneum University of Applied Sciences,Alte Poststrasse 147/154 - 8020 GrazAustria,+43 316 54 530,info@fh-joanneum.at,www.fh-joanneum.at,https://www.modemonline.com/design/design-connections/design-schools
"FHNW  - Institute Industrial Design, Academy of Art and Design",Freilager-Platz 1 Postfach - 4023 BaselSwitzerland,+41 (0)61 228 40 44,info.industrialdesign.hgk@fhnw.ch,http://www.fhnw.ch,https://www.modemonline.com/design/design-connections/design-schools
Free University of Bozen-Bolzano,p.zza Università 1 - 39100 BolzanoItaly,+39 047 10 11 000,,http://www.unibz.it/,https://www.modemonline.com/design/design-connections/design-schools
Geijutsu Daigaku Tokyo National University of Fine Arts and Music,12-8 Ueno Kouen Taito-ku - 110-8714 TokyoJapan,+81 (0)50 5525 2013,,http://www.geidai.ac.jp,https://www.modemonline.com/design/design-connections/design-schools
Academie Artemis Amsterdam,"Prinsengracht, 400 - 1016 JB Amsterdam -",+31(0)20 751 1776,info@academieartemis.nl,http://www.stylingacademie.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
George Brown College,"P.O. Box 1015, Station B - M5T 2T9 TorontoCanada",+1 416 415 2000,,http://www.georgebrown.ca/,https://www.modemonline.com/design/design-connections/design-schools
Gerrit Rietveld Academie,Frederik Roeskestraat 96 - 1076 ED AmsterdamThe Netherlands,+31 (0)20 – 5711600,sjongejan@grac.nl,http://www.gerritrietveldacademie.nl,https://www.modemonline.com/design/design-connections/design-schools
Graz University of Technology,Rechbauerstraße 12 - 8010 GrazAustria,+43 316 873 0,info@tugraz.at,https://www.tugraz.at/home/,https://www.modemonline.com/design/design-connections/design-schools
Harvard University,Harvard Yard - 02138 CambridgeUnited States,+1 (617) 495 10 00,,http://www.harvard.edu/,https://www.modemonline.com/design/design-connections/design-schools
Haute Ecole d'Art et de Design,Boulevard James-Fazy 15 - 1201 GenevaSwitzerland,+41 (0)22 388 51 00,info.head@hesge.ch,http://head.hesge.ch/,https://www.modemonline.com/design/design-connections/design-schools
HDK – Högskolan för Design och Konsthantverk,Kristinelundsgatan 6-8 - GöteborgSweden,031 786 00 00,info@hdk.gu.se,http://www.hdk.gu.se,https://www.modemonline.com/design/design-connections/design-schools
Academie Artemis Rotterdam,"Westersingel, 23 - 3014 GP Rotterdam -",+31 (0)10 436 6784,info@academieartemis.nl,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Academy of Art University,79 New Montgomery Street - CA 94105 San Francisco -,+1 800 544 2787,,http://www.academyart.edu/,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Accademia del Lusso,via Montenapoleone 5 - 20121 Milan -,+39 800 33 44 11,info@accademiadellusso.com,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Accademia Italiana,p.zza Pitti 15 - 50125 Florence -,+39 055 28 46 16,study@accademiaitaliana.com,http://www.accademiaitaliana.com,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Akademie Jak,Alte Mineralwasserfabrik Hohenfelder Allee 41-43  - 22087 Hamburg -,+49 (0) 40 34 85 95 10,post@jak.de,https://www.jak.de/,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
amD - Akademie Mode & Design,Karl-Friedrich-Klees-Str.10 - 40476  Düsseldorf -,+49 (0) 21 13 86 260,studienberatung@amdnet.de,https://www.amdnet.de,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
amD - Akademie Mode & Design,Alte Rabenstraße 1  - 20148 Hamburg -,+49 (0) 40 23 78 78-0,studienberatung@amdnet.de,https://www.amdnet.de,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
HEAD - Geneva University of Art and Design,Boulevard James-Fazy 15 - 1201 GenevaSwitzerland,+41 22 388 51 00,,http://www.hesge.ch/head/,https://www.modemonline.com/design/design-connections/design-schools
HFG Offenbach,Schlossstraße 31 - 63065 Offenbach Germany,+49 069 80059-0,,http://www.hfg-offenbach.de/#feature_and_news,https://www.modemonline.com/design/design-connections/design-schools
"HKU Design, University of Arts Utrecht",Ina Boudier-Bakkerlaan 50 - 3582  UtrechtThe Netherlands,+31 30 2332256,,http://www.hku.nl/Homeen.htm,https://www.modemonline.com/design/design-connections/design-schools
Hochschule Hannover,Expo Plaza 4 - 30539 HannoverGermany,+49 511 9296-0,poststelle@hs-hannover.de,http://www.hs-hannover.de/start/index.html,https://www.modemonline.com/design/design-connections/design-schools
Hochschule Pforzheim - Fakultat fur Gestaltung,Tiefenbronner Str 65 - 75175  PforzheimGermany,+49 (0)7231 285,antje.dreissig@hs-pforzheim.de,http://www.hs-pforzheim.de,https://www.modemonline.com/design/design-connections/design-schools
Holon Institute of Technology,52 Golomb St. - 58102 HornuIsrael,+972 3502 6816,,http://www.hit.ac.il/web/eng/default.asp,https://www.modemonline.com/design/design-connections/design-schools
Hong Kong Design Institute,"3 King Ling Road, Tseung Kwan O, N.T. - Honk KongChina",+852 39 28 29 94,hkdi@vtc.edu.hk,http://www.hkdi.edu.hk/,https://www.modemonline.com/design/design-connections/design-schools
amD - Akademie Mode & Design,Infanteriestraße 11a - 80797 Munich -,+49 (0) 40 23 78 780,studienberatung@amdnet.de,https://www.amdnet.de,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
amD - Akademie Mode & Design,Jacobowitz Hof Pappelallee 78/79 - 10437 Berlin -,+49 (0) 30 58 58 30 80,studienberatung@amdnet.de,https://www.amdnet.de,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Hongik University,94 Wausan-ro Mapo-Gu - 121-791 SeoulSouthern Korea,+82 02 320 1122,,http://www.hongik.ac.kr/english_neo/,https://www.modemonline.com/design/design-connections/design-schools
Hunan University,"2 Lushan S Rd, Yuelu, Changsha - HunanChina",,xiaoban@hnu.cn,http://www-en.hnu.edu.cn/,https://www.modemonline.com/design/design-connections/design-schools
IAAC Institute for Advanced Architecture of Catalonia,Pujades 102 Baixos Poble Nou - 08005 BarcelonaSpain,+34 93 320 95 20,,http://www.iaac.net,https://www.modemonline.com/design/design-connections/design-schools
IAAD - Istituto d'Arte Applicata e Design,via Pisa 5 - 10152 TurinItaly,+39 011 54 88 68,,http://www.iaad.it,https://www.modemonline.com/design/design-connections/design-schools
Iceland Academy of the Arts,Þverholti 11 - 105  ReykjavikIceland,+354 552 4000,,www.english.lhi.is,https://www.modemonline.com/design/design-connections/design-schools
ArtEZ Institute of the Arts Arnhem,"Onderlangs, 9 - 6812 CE Arnhem -",+31 (0)26 353 5600,communicatie@artez.nl,http://www.modearnhem.nl,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Atelier Chardon Savard,Mehringdamm 33 - 10961 Berlin -,+49  (0) 03 02 02 15 12  310,fashion@macromedia.de,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Atelier Chardon-Savard,"15, rue Gambey - 75011 Paris -",+33 (0)1 43 14 02 22,info@acs-paris.com,www.atelier-chardon-savard.com,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
IDAS International Design School for Advanced Studies,"128-8 Yeongeon-dong, Jongno-gu - 110-770 SeoulSouthern Korea",,,,https://www.modemonline.com/design/design-connections/design-schools
Idep Barcelona,"Gran Vía de les Corts Catalanes, 461 - 08015 BarcelonaSpain",+34 934 161 012,,http://www.idep.es/,https://www.modemonline.com/design/design-connections/design-schools
IED Barcelona,Biada 11 - 0812 BarcelonaSpain,+34 93 2385889,,http://iedbarcelona.es/,https://www.modemonline.com/design/design-connections/design-schools
"Bau, Escuela Superior de Diseño","Calle Pujades, 118 - 08005 Barcelona -",+34 93 415 34 74,info@bau.cat,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Beckmans Designhögskola,"Brahegatan, 10 - 114 34 Stockholm -",+46 (0)8 660 2020,info@beckmans.se,http://www.beckmans.se,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Berlin University of The Arts,Straße des 17. Juni 118 - 10623 Berlin -,+49  30 31 85-0,beratung@udk-berlin.de,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Berlin Weissensee School of Art,Bühringstraße 20 - 13086 Berlin -,+49  30 47 70 50,studienberatung@kh-berlin.de,http://www.udk-berlin.de/en,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
IED Istituto Europeo di Design,via Sciesa 4 - 20135 MilanItaly,+39 02 57 96 951,,www.ied.it,https://www.modemonline.com/design/design-connections/design-schools
Indian Institute of Technology Guwahati,"Guwahati, Assam - 781039 GuwahatiIndia",+91 361 258 30 00,director [AT] iitg.ernet.in,http://www.iitg.ac.in,https://www.modemonline.com/design/design-connections/design-schools
Industrial Design Centre,"Indian Institute of Technology Bombay, Powai  - 400 076 MumbaiIndia",+91 022 2576 7801,ggray@iitb.ac.in,http://www.idc.iitb.ac.in,https://www.modemonline.com/design/design-connections/design-schools
ISIA Istituti Superiori per le Industrie Artistiche Faenza,"Corso Mazzini, 93 - 48018 FaenzaItaly",+39 0546 22293,info@isiafaenza.it,http://www.isiafaenza.it/,https://www.modemonline.com/design/design-connections/design-schools
ISIA Roma Design,p.zza della Maddalena 53 - 00186 RomeItaly,+39 06 67 96 195,,http://www.isiaroma.it,https://www.modemonline.com/design/design-connections/design-schools
ISIA Urbino,"Via Santa Chiara, 36 - 61029 UrbinoItaly",+39 0722 320195,,,https://www.modemonline.com/design/design-connections/design-schools
Best-Sabel-Bildungszentrum Gmbh,Lindenstraße 42 - 12555 Berlin -,+49   30 65 66 100,design@best-sabel.de,http://www.osz-bekleidung-mode.de,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
BSP Business School Berlin,Calandrellistraße 1-9  - 12247 Berlin -,+49   30 76 68 37 5-100,info@businessschool-berlin.de,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Bunka Fashion College,"3-22-1, Yoyogi,Shibuya-ku - 151-8522 Tokyo -",+81 (0)3 3299 2211,,http://www.bunka-fc.ac.jp/en/,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Central Saint Martins College of Arts & Design,1 Granary Sq King's Cross - N1C 4AA London -,+44 (0)207 514 7000,info@csm.arts.ac.uk,http://www.csm.arts.ac.uk,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Centro Superior de Diseno de Moda de Madrid,"Ctra. Valencia, Km. 7 Campus Sur - 28031 Madrid -",+34 (0)91 331 01 26,promo.csdmm@upm.es,http://www.csdmm.upm.es/,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
E.N.S.A.D - Ecole Nationale Supérieure des Arts Décoratifs,"31, rue d'Ulm - 75005 Paris -",+33 (0)1 42 34 97 00,constance.laridan@ensad.fr,http://www.ensad.fr/,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Istanbul Technical University,Itu Mimarlik Fakultesi Taskisla Taksim - 34437  IstanbulTurkey,+90 (212) 285 30 30,,http://www.mim.itu.edu.tr,https://www.modemonline.com/design/design-connections/design-schools
Istituto Marangoni,via Cerva 24 - 20122 MilanItaly,+ 39 02 76 31 66 80,design@istitutomarangoni.com,http://www.istitutomarangoni.com,https://www.modemonline.com/design/design-connections/design-schools
Istituto Superiore di Archittetura & Design,via Balduccio da Pisa 16 - 20139 MilanItaly,+39 02 55 21 07 00,,http://isad-school.com/,https://www.modemonline.com/design/design-connections/design-schools
Istituto Superiore per le Industrie Artistiche,Via Pisana 79 - 50143 FirenzeItaly,+39 055 700301,presidente@isiadesign.fi.it,http://www.isiadesign.fi.it/index.php,https://www.modemonline.com/design/design-connections/design-schools
Izmir University of Economics,"Sakarya Caddesi, No. 156 - 35330 Balcova Turkey",+90 (232) 279 25 25,,http://www.ieu.edu.tr/en,https://www.modemonline.com/design/design-connections/design-schools
"KADK – The Royal Danish Academy School of Design, Architecture and Conservation",Philip De Langes Allé 10 - 1435 CopenhagenDenmark,+45 4170 1500,INFO@KADK.DK,https://kadk.dk/en,https://www.modemonline.com/design/design-connections/design-schools
EBC University Of Applied Sciences,Hauptstraße 27 - 10827 Berlin -,+49 30 31 51 93 50,berlin@ebc-hochschule.de,http://www.mediadesign.de,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Ecole de la Chambre syndicale de la Couture Parisienne,"119, rue Réaumur - 75002 Paris -",+33 (0)1 42 61 00 77,info@modeaparis.com,http://www.modeaparis.com,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Ecole Nationale de Mode et Matière,31 rue d'Ulm - 75005 Paris -,+33 (0)1 43 34 98 09,,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Ecole Supérieure des Arts Appliqués Duperré,"11, rue du Petit Thouars - 75003 Paris -",+33 (0)1 42 78 59 09,direction@duperre.org,http://www.duperre.org/,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Escuela Internacional de Diseno y Moda Isa,"C/ Andrés Mellado, 6 - 28015 Madrid -",+34 91 544 68 87,info@academiasisa.com,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Escuela Internacional de Diseno y Moda Isa,"C/Toledo, 119 - 28005 Madrid -",+ 34 913 66 86 36,,,https://www.modemonline.com/fashion/mini-web-sites/fashion-schools
Kobe Design University,"8-1-1, Gakuennishi-machi, Nishi-ku - 651-2196 KobeJapan",+81 78 794 5024,,http://www.kobe-du.ac.jp/,https://www.modemonline.com/design/design-connections/design-schools
Köln International School of Design,Ubierring 40  - 50678 CologneGermany,+49 (0)221 8275 3607,c.moritz@kisd.de,http://www.kisd.de,https://www.modemonline.com/design/design-connections/design-schools
